regiao,estado,municipio,votos_Bolsonaro,votos_Lula
Sul,RS,CORONEL BICACO,2255,2430
Sul,PR,CORONEL DOMINGOS SOARES,1528,2377
Nordeste,RN,CORONEL EZEQUIEL,747,2688
Sudeste,MG,CORONEL FABRICIANO,35727,25144
Sul,SC,CORONEL FREITAS,4185,2638
Nordeste,RN,CORONEL JOAO PESSOA,466,2624
Nordeste,BA,CORONEL JOAO SA,2005,8837
Nordeste,PI,CORONEL JOSE DIAS,315,3597
Sudeste,SP,CORONEL MACEDO,1144,1840
Sul,SC,CORONEL MARTINS,885,771
Sudeste,MG,CORONEL MURTA,1226,4007
Sudeste,MG,CORONEL PACHECO,956,1327
Sul,RS,CORONEL PILAR,975,275
Centro-Oeste,MS,CORONEL SAPUCAIA,4530,4090
Sul,PR,CORONEL VIVIDA,7429,6728
Sudeste,MG,CORONEL XAVIER CHAVES,878,1466
Sudeste,MG,CORREGO DANTA,1172,1050
Sudeste,MG,CORREGO DO BOM JESUS,1783,1422
Centro-Oeste,GO,CORREGO DO OURO,1644,689
Sudeste,MG,CORREGO FUNDO,2398,1745
Sudeste,MG,CORREGO NOVO,891,1692
Sul,SC,CORREIA PINTO,5524,4202
Nordeste,PI,CORRENTE,3968,11554
Nordeste,PE,CORRENTES,1369,7901
Nordeste,BA,CORRENTINA,4910,14974
Nordeste,PE,CORTES,2158,5750
Centro-Oeste,MS,CORUMBA,25082,24552
Centro-Oeste,GO,CORUMBA DE GOIAS,3242,2305
Centro-Oeste,GO,CORUMBAIBA,2924,2317
Sudeste,SP,CORUMBATAI,1826,763
Sul,PR,CORUMBATAI DO SUL,1306,1429
Norte,RO,CORUMBIARA,2683,1524
Sul,SC,CORUPA,7653,2108
Nordeste,AL,CORURIPE,14497,12675
Sudeste,SP,COSMOPOLIS,19757,14272
Sudeste,SP,COSMORAMA,3443,2060
Norte,RO,COSTA MARQUES,4220,2425
Centro-Oeste,MS,COSTA RICA,9506,5936
Nordeste,BA,COTEGIPE,1683,7060
Sudeste,SP,COTIA,69121,71547
Sul,RS,COTIPORA,2261,668
Exterior,ZZ,COTONOU,0,0
Centro-Oeste,MT,COTRIGUACU,4330,1831
Sudeste,MG,COUTO DE MAGALHAES DE MINAS,563,2043
Norte,TO,COUTO MAGALHAES,1235,2054
Sul,RS,COXILHA,1269,983
Centro-Oeste,MS,COXIM,10152,8215
Nordeste,PB,COXIXOLA,286,1249
Nordeste,AL,CRAIBAS,3062,11494
Nordeste,CE,CRATEUS,10119,34484
Nordeste,CE,CRATO,12363,66182
Sudeste,SP,CRAVINHOS,13162,6495
Nordeste,BA,CRAVOLANDIA,456,2467
Sul,SC,CRICIUMA,85502,33200
Sudeste,MG,CRISOLITA,828,2441
Nordeste,BA,CRISOPOLIS,1744,10318
Sul,RS,CRISSIUMAL,4644,3790
Sudeste,MG,CRISTAIS,3266,3234
Sudeste,SP,CRISTAIS PAULISTA,3287,2326
Sul,RS,CRISTAL,2491,2275
Sul,RS,CRISTAL DO SUL,925,1137
Norte,TO,CRISTALANDIA,1865,2213
Nordeste,PI,CRISTALANDIA DO PIAUI,761,3523
Sudeste,MG,CRISTALIA,851,2589
Centro-Oeste,GO,CRISTALINA,17318,9243
Sudeste,MG,CRISTIANO OTONI,1704,1764
Centro-Oeste,GO,CRISTIANOPOLIS,1939,1015
Sudeste,MG,CRISTINA,3718,2440
Nordeste,SE,CRISTINAPOLIS,2024,8256
Nordeste,PI,CRISTINO CASTRO,1115,4748
Nordeste,BA,CRISTOPOLIS,2225,6996
Centro-Oeste,GO,CRIXAS,4050,5052
Norte,TO,CRIXAS DO TOCANTINS,601,670
Nordeste,CE,CROATA,1931,8978
Centro-Oeste,GO,CROMINIA,1657,1328
Sudeste,MG,CRUCILANDIA,2167,1895
Nordeste,CE,CRUZ,6285,11076
Sul,RS,CRUZ ALTA,19195,16354
Nordeste,BA,CRUZ DAS ALMAS,11766,26835
Nordeste,PB,CRUZ DO ESPIRITO SANTO,3389,9028
Sul,PR,CRUZ MACHADO,6324,4493
Sudeste,SP,CRUZALIA,1033,569
Sul,RS,CRUZALTENSE,1142,541
Sudeste,SP,CRUZEIRO,26115,17778
Sudeste,MG,CRUZEIRO DA FORTALEZA,1838,1357
Sul,PR,CRUZEIRO DO IGUACU,1323,1543
Sul,PR,CRUZEIRO DO OESTE,8195,4823
Norte,AC,CRUZEIRO DO SUL,31936,9733
Sul,RS,CRUZEIRO DO SUL,5021,2735
Sul,PR,CRUZEIRO DO SUL,1345,1842
Nordeste,RN,CRUZETA,1257,4065
Sudeste,MG,CRUZILIA,4265,5517
Sul,PR,CRUZMALTINA,1248,867
Sudeste,SP,CUBATAO,33610,36581
Nordeste,PB,CUBATI,1198,3809
Centro-Oeste,MT,CUIABA,213787,133852
Nordeste,PB,CUITE,2258,10528
Nordeste,PB,CUITE DE MAMANGUAPE,907,4192
Nordeste,PB,CUITEGI,972,3309
Norte,RO,CUJUBIM,5818,1729
Centro-Oeste,GO,CUMARI,785,1205
Nordeste,PE,CUMARU,2524,8517
Norte,PA,CUMARU DO NORTE,3217,1936
Nordeste,SE,CUMBE,1197,2145
Sudeste,SP,CUNHA,7493,6194
Sul,SC,CUNHA PORA,6192,1208
Sul,SC,CUNHATAI,1028,481
Sudeste,MG,CUPARAQUE,1706,1100
Nordeste,PE,CUPIRA,5142,9813
Nordeste,BA,CURACA,3803,16347
Nordeste,PI,CURIMATA,1786,5068
Norte,PA,CURIONOPOLIS,6524,5819
Sul,PR,CURITIBA,720322,391675
Sul,SC,CURITIBANOS,14559,9085
Sul,PR,CURIUVA,4358,3660
Nordeste,PI,CURRAIS,693,3470
Nordeste,RN,CURRAIS NOVOS,9038,15618
Nordeste,PB,CURRAL DE CIMA,738,3402
Sudeste,MG,CURRAL DE DENTRO,1736,2861
Nordeste,PI,CURRAL NOVO DO PIAUI,292,3392
Nordeste,PB,CURRAL VELHO,354,1338
Norte,PA,CURRALINHO,3766,13465
Nordeste,PI,CURRALINHOS,523,3344
Norte,PA,CURUA,1911,6397
Norte,PA,CURUCA,6688,17798
Nordeste,MA,CURURUPU,3049,15297
Centro-Oeste,MT,CURVELANDIA,2073,1219
Sudeste,MG,CURVELO,21381,23339
Nordeste,PE,CUSTODIA,2589,17988
Norte,AP,CUTIAS,1248,1844
Exterior,ZZ,DACAR,28,39
Exterior,ZZ,DAMASCO,0,0
Centro-Oeste,GO,DAMIANOPOLIS,1358,1286
Nordeste,PB,DAMIAO,491,2853
Centro-Oeste,GO,DAMOLANDIA,1410,1276
Exterior,ZZ,DAR ES SALAAM,2,6
Norte,TO,DARCINOPOLIS,1130,1960
Nordeste,BA,DARIO MEIRA,1177,4490
Sudeste,MG,DATAS,834,2774
Sul,RS,DAVID CANABARRO,2021,1304
Nordeste,MA,DAVINOPOLIS,3158,5560
Centro-Oeste,GO,DAVINOPOLIS,1005,1581
Sudeste,MG,DELFIM MOREIRA,2923,2293
Sudeste,MG,DELFINOPOLIS,2488,2056
Nordeste,AL,DELMIRO GOUVEIA,5050,22688
Sudeste,MG,DELTA,1976,3213
Nordeste,PI,DEMERVAL LOBAO,2189,7498
Centro-Oeste,MT,DENISE,2419,1986
Centro-Oeste,MS,DEODAPOLIS,4191,3454
Nordeste,CE,DEPUTADO IRAPUAN PINHEIRO,675,5105
Sul,RS,DERRUBADAS,1130,1034
Sudeste,SP,DESCALVADO,12497,5700
Sul,SC,DESCANSO,3753,2123
Sudeste,MG,DESCOBERTO,1430,2089
Nordeste,PB,DESTERRO,1033,4419
Sudeste,MG,DESTERRO DE ENTRE RIOS,2807,1948
Sudeste,MG,DESTERRO DO MELO,1295,1603
Sul,RS,DEZESSEIS DE NOVEMBRO,886,1105
Sudeste,SP,DIADEMA,102841,154387
Nordeste,PB,DIAMANTE,684,3123
Sul,PR,DIAMANTE D'OESTE,1205,1750
Sul,PR,DIAMANTE DO NORTE,1973,1452
Sul,PR,DIAMANTE DO SUL,1178,1181
Sudeste,MG,DIAMANTINA,8664,19045
Centro-Oeste,MT,DIAMANTINO,7804,4595
Norte,TO,DIANOPOLIS,3431,6140
Nordeste,BA,DIAS D'AVILA,9999,29699
Sul,RS,DILERMANDO DE AGUIAR,1267,1091
Exterior,ZZ,DILI,37,22
Sudeste,MG,DIOGO DE VASCONCELOS,680,2178
Sudeste,MG,DIONISIO,2000,2837
Sul,SC,DIONISIO CERQUEIRA,4749,3804
Centro-Oeste,GO,DIORAMA,1095,729
Sudeste,SP,DIRCE REIS,642,590
Nordeste,PI,DIRCEU ARCOVERDE,462,4242
Nordeste,SE,DIVINA PASTORA,632,2396
Sudeste,MG,DIVINESIA,1141,2444
Sudeste,MG,DIVINO,5032,6807
Sudeste,MG,DIVINO DAS LARANJEIRAS,1625,1552
Sudeste,ES,DIVINO DE SAO LOURENCO,1990,1299
Sudeste,SP,DIVINOLANDIA,4948,2380
Sudeste,MG,DIVINOLANDIA DE MINAS,1602,2480
Sudeste,MG,DIVINOPOLIS,76341,60868
Centro-Oeste,GO,DIVINOPOLIS DE GOIAS,1143,2215
Norte,TO,DIVINOPOLIS DO TOCANTINS,1629,2518
Sudeste,MG,DIVISA ALEGRE,1335,2401
Sudeste,MG,DIVISA NOVA,1811,1966
Sudeste,MG,DIVISOPOLIS,1619,3405
Sudeste,SP,DOBRADA,2202,2774
Exterior,ZZ,DOHA,221,151
Sudeste,SP,DOIS CORREGOS,9161,4692
Sul,RS,DOIS IRMAOS,13698,6706
Sul,RS,DOIS IRMAOS DAS MISSOES,749,835
Centro-Oeste,MS,DOIS IRMAOS DO BURITI,2206,3779
Norte,TO,DOIS IRMAOS DO TOCANTINS,1267,2419
Sul,RS,DOIS LAJEADOS,1907,581
Nordeste,AL,DOIS RIACHOS,1460,4705
Sul,PR,DOIS VIZINHOS,13835,12606
Sudeste,SP,DOLCINOPOLIS,659,1021
Centro-Oeste,MT,DOM AQUINO,2721,2010
Nordeste,BA,DOM BASILIO,1137,7425
Sudeste,MG,DOM BOSCO,1430,1251
Sudeste,MG,DOM CAVATI,1754,1524
Norte,PA,DOM ELISEU,10883,11698
Nordeste,PI,DOM EXPEDITO LOPES,1007,4200
Sul,RS,DOM FELICIANO,3746,4272
Nordeste,PI,DOM INOCENCIO,562,5252
Sudeste,MG,DOM JOAQUIM,1023,1903
Nordeste,BA,DOM MACEDO COSTA,974,2526
Sul,RS,DOM PEDRITO,9878,11319
Nordeste,MA,DOM PEDRO,4159,9265
Sul,RS,DOM PEDRO DE ALCANTARA,1273,759
Sudeste,MG,DOM SILVERIO,1088,2311
Sudeste,MG,DOM VICOSO,1224,1111
Sudeste,ES,DOMINGOS MARTINS,15544,6867
Nordeste,PI,DOMINGOS MOURAO,392,2815
Sul,SC,DONA EMMA,1931,744
Sudeste,MG,DONA EUSEBIA,2029,2583
Sul,RS,DONA FRANCISCA,1316,1092
Nordeste,PB,DONA INES,949,5719
Sudeste,MG,DORES DE CAMPOS,3229,3240
Sudeste,MG,DORES DE GUANHAES,1310,2292
Sudeste,MG,DORES DO INDAIA,4783,3290
Sudeste,ES,DORES DO RIO PRETO,2660,2014
Sudeste,MG,DORES DO TURVO,1392,2509
Sudeste,MG,DORESOPOLIS,808,733
Nordeste,PE,DORMENTES,2610,9778
Centro-Oeste,MS,DOURADINA,2362,1552
Sul,PR,DOURADINA,3536,1878
Sudeste,SP,DOURADO,2961,2241
Sudeste,MG,DOURADOQUARA,653,928
Centro-Oeste,MS,DOURADOS,81016,47910
Sul,PR,DOUTOR CAMARGO,2699,1377
Sul,RS,DOUTOR MAURICIO CARDOSO,2103,1141
Sul,SC,DOUTOR PEDRINHO,1987,473
Sul,RS,DOUTOR RICARDO,1201,502
Nordeste,RN,DOUTOR SEVERIANO,662,4117
Sul,PR,DOUTOR ULYSSES,1669,2221
Centro-Oeste,GO,DOVERLANDIA,2368,2054
Sudeste,SP,DRACENA,18374,7569
Sudeste,SP,DUARTINA,4488,3146
Sudeste,RJ,DUAS BARRAS,3780,3925
Nordeste,PB,DUAS ESTRADAS,622,2064
Exterior,ZZ,DUBLIN,1339,6023
Norte,TO,DUERE,1003,1573
Sudeste,SP,DUMONT,3551,1996
Nordeste,MA,DUQUE BACELAR,770,6278
Sudeste,RJ,DUQUE DE CAXIAS,299197,213922
Sudeste,MG,DURANDE,2118,2849
Sudeste,SP,ECHAPORA,2460,1437
Sudeste,ES,ECOPORANGA,5857,7771
Centro-Oeste,GO,EDEALINA,1857,1208
Centro-Oeste,GO,EDEIA,4242,3111
Norte,AM,EIRUNEPE,3653,10435
Sudeste,SP,ELDORADO,4352,3683
Centro-Oeste,MS,ELDORADO,3801,2340
Sul,RS,ELDORADO DO SUL,10436,9910
Norte,PA,ELDORADO DOS CARAJAS,7326,7185
Nordeste,PI,ELESBAO VELOSO,1370,7845
Sudeste,SP,ELIAS FAUSTO,7196,3422
Nordeste,PI,ELISEU MARTINS,486,2270
Sudeste,SP,ELISIARIO,1440,697
Nordeste,BA,ELISIO MEDRADO,1378,4215
Sudeste,MG,ELOI MENDES,9402,6153
Nordeste,PB,EMAS,536,1892
Sudeste,SP,EMBAUBA,1090,761
Sudeste,SP,EMBU DAS ARTES,66009,88298
Sudeste,SP,EMBU-GUACU,19410,20079
Sudeste,SP,EMILIANOPOLIS,1109,1043
Sul,RS,ENCANTADO,9544,4218
Nordeste,RN,ENCANTO,539,3337
Exterior,ZZ,ENCARNACION,121,16
Nordeste,BA,ENCRUZILHADA,2772,8296
Sul,RS,ENCRUZILHADA DO SUL,5840,8413
Sul,PR,ENEAS MARQUES,1917,2487
Sul,PR,ENGENHEIRO BELTRAO,5024,3197
Sudeste,MG,ENGENHEIRO CALDAS,2570,2728
Sudeste,SP,ENGENHEIRO COELHO,7101,4067
Sudeste,MG,ENGENHEIRO NAVARRO,1200,3222
Sudeste,RJ,ENGENHEIRO PAULO DE FRONTIN,4344,4268
Sul,RS,ENGENHO VELHO,419,534
Sudeste,MG,ENTRE FOLHAS,2180,2278
Nordeste,BA,ENTRE RIOS,4573,17696
Sul,SC,ENTRE RIOS,731,1647
Sudeste,MG,ENTRE RIOS DE MINAS,4203,5451
Sul,PR,ENTRE RIOS DO OESTE,2240,768
Sul,RS,ENTRE RIOS DO SUL,1052,1029
Sul,RS,ENTRE-IJUIS,3187,2684
Norte,AM,ENVIRA,1971,5064
Norte,AC,EPITACIOLANDIA,6729,2464
Nordeste,RN,EQUADOR,1061,2595
Sul,RS,EREBANGO,1249,803
Sul,RS,ERECHIM,42893,21164
Nordeste,CE,ERERE,603,3630
Nordeste,BA,ERICO CARDOSO,1175,4915
Sul,SC,ERMO,1435,498
Sul,RS,ERNESTINA,1298,1042
Sul,RS,ERVAL GRANDE,1600,1817
Sul,RS,ERVAL SECO,2061,2375
Sul,SC,ERVAL VELHO,2311,936
Sudeste,MG,ERVALIA,4114,8390
Nordeste,PE,ESCADA,10999,25986
Sul,RS,ESMERALDA,1153,950
Sudeste,MG,ESMERALDAS,18715,21117
Sudeste,MG,ESPERA FELIZ,6663,7256
Nordeste,PB,ESPERANCA,6033,13192
Sul,RS,ESPERANCA DO SUL,1077,1340
Sul,PR,ESPERANCA NOVA,1078,509
Norte,TO,ESPERANTINA,1257,3212
Nordeste,PI,ESPERANTINA,6006,16876
Nordeste,MA,ESPERANTINOPOLIS,2589,8133
Sul,PR,ESPIGAO ALTO DO IGUACU,1947,1294
Norte,RO,ESPIGAO DO OESTE,13595,4212
Sudeste,MG,ESPINOSA,5914,11844
Nordeste,RN,ESPIRITO SANTO,2448,3482
Sudeste,MG,ESPIRITO SANTO DO DOURADO,1989,2034
Sudeste,SP,ESPIRITO SANTO DO PINHAL,15006,8746
Sudeste,SP,ESPIRITO SANTO DO TURVO,1344,1198
Nordeste,BA,ESPLANADA,4059,15520
Sul,RS,ESPUMOSO,5978,4335
Sul,RS,ESTACAO,2768,1257
Nordeste,SE,ESTANCIA,9847,26903
Sul,RS,ESTANCIA VELHA,20924,8427
Sul,RS,ESTEIO,26136,25148
Sudeste,MG,ESTIVA,4150,3267
Sudeste,SP,ESTIVA GERBI,4750,2452
Exterior,ZZ,ESTOCOLMO,542,1785
Nordeste,MA,ESTREITO,7836,9742
Sul,RS,ESTRELA,14439,5562
Sudeste,SP,ESTRELA D'OESTE,3570,1807
Sudeste,MG,ESTRELA DALVA,716,1248
Nordeste,AL,ESTRELA DE ALAGOAS,1201,6374
Sudeste,MG,ESTRELA DO INDAIA,1045,1031
Centro-Oeste,GO,ESTRELA DO NORTE,1117,1162
Sudeste,SP,ESTRELA DO NORTE,863,1062
Sudeste,MG,ESTRELA DO SUL,1845,2532
Sul,RS,ESTRELA VELHA,1330,1048
Nordeste,BA,EUCLIDES DA CUNHA,5911,28981
Sudeste,SP,EUCLIDES DA CUNHA PAULISTA,1709,3017
Sul,RS,EUGENIO DE CASTRO,1181,790
Sudeste,MG,EUGENOPOLIS,3447,3635
Nordeste,BA,EUNAPOLIS,28290,32559
Nordeste,CE,EUSEBIO,18458,22957
Sudeste,MG,EWBANK DA CAMARA,1110,2286
Sudeste,MG,EXTREMA,15399,12071
Nordeste,RN,EXTREMOZ,9793,13323
Nordeste,PE,EXU,2591,17880
Nordeste,PB,FAGUNDES,1436,5917
Sul,RS,FAGUNDES VARELA,1633,430
Centro-Oeste,GO,FAINA,1973,2606
Sudeste,MG,FAMA,1272,1087
Sudeste,MG,FARIA LEMOS,902,1502
Nordeste,CE,FARIAS BRITO,1616,11723
Exterior,ZZ,FARO,862,934
Norte,PA,FARO,942,3772
Sul,PR,FAROL,1150,1080
Sul,RS,FARROUPILHA,34359,11728
Sudeste,SP,FARTURA,5145,4476
Nordeste,PI,FARTURA DO PIAUI,264,3266
Norte,TO,FATIMA,1288,1185
Nordeste,BA,FATIMA,1673,10190
Centro-Oeste,MS,FATIMA DO SUL,6813,5696
Sul,PR,FAXINAL,6715,2788
Sul,RS,FAXINAL DO SOTURNO,2743,1834
Sul,SC,FAXINAL DOS GUEDES,3657,3616
Sul,RS,FAXINALZINHO,1126,747
Centro-Oeste,GO,FAZENDA NOVA,2347,1830
Sul,PR,FAZENDA RIO GRANDE,38273,25351
Sul,RS,FAZENDA VILANOVA,1593,1132
Norte,AC,FEIJO,6383,7113
Nordeste,BA,FEIRA DA MATA,1417,2581
Nordeste,BA,FEIRA DE SANTANA,124354,221406
Nordeste,AL,FEIRA GRANDE,2967,10346
Nordeste,SE,FEIRA NOVA,1008,3505
Nordeste,PE,FEIRA NOVA,4785,9062
Nordeste,MA,FEIRA NOVA DO MARANHAO,1601,3239
Sudeste,MG,FELICIO DOS SANTOS,1093,2087
Nordeste,RN,FELIPE GUERRA,910,4769
Sudeste,MG,FELISBURGO,1026,2701
Sudeste,MG,FELIXLANDIA,3556,5015
Sul,RS,FELIZ,6148,2822
Nordeste,AL,FELIZ DESERTO,690,1597
Centro-Oeste,MT,FELIZ NATAL,3133,1485
Sul,PR,FENIX,1500,1537
Sul,PR,FERNANDES PINHEIRO,2315,2072
Sudeste,MG,FERNANDES TOURINHO,995,933
Nordeste,PE,FERNANDO DE NORONHA,922,1068
Nordeste,MA,FERNANDO FALCAO,1565,5555
Nordeste,RN,FERNANDO PEDROZA,669,1778
Sudeste,SP,FERNANDO PRESTES,2474,1265
Sudeste,SP,FERNANDOPOLIS,24566,14631
Sudeste,SP,FERNAO,772,406
Sudeste,SP,FERRAZ DE VASCONCELOS,44398,55271
Norte,AP,FERREIRA GOMES,1862,2153
Nordeste,PE,FERREIROS,2105,5599
Sudeste,MG,FERROS,1906,4108
Sudeste,MG,FERVEDOURO,2703,3856
Sul,PR,FIGUEIRA,2069,2834
Centro-Oeste,MS,FIGUEIRAO,977,871
Norte,TO,FIGUEIROPOLIS,1759,1682
Centro-Oeste,MT,FIGUEIROPOLIS D'OESTE,1645,539
Nordeste,BA,FILADELFIA,2690,8574
Norte,TO,FILADELFIA,1732,2909
Nordeste,BA,FIRMINO ALVES,1112,2445
Centro-Oeste,GO,FIRMINOPOLIS,4356,2201
Nordeste,AL,FLEXEIRAS,2841,2795
Sul,PR,FLOR DA SERRA DO SUL,1713,1934
Sul,SC,FLOR DO SERTAO,699,695
Sudeste,SP,FLORA RICA,576,555
Sul,PR,FLORAI,2171,1516
Nordeste,RN,FLORANIA,1573,4871
Sudeste,SP,FLOREAL,1145,908
Nordeste,PE,FLORES,1565,10397
Sul,RS,FLORES DA CUNHA,16910,3691
Centro-Oeste,GO,FLORES DE GOIAS,2236,2683
Nordeste,PI,FLORES DO PIAUI,479,2538
Sul,PR,FLORESTA,3531,2059
Nordeste,PE,FLORESTA,2519,15151
Nordeste,BA,FLORESTA AZUL,1328,4359
Norte,PA,FLORESTA DO ARAGUAIA,5535,4802
Nordeste,PI,FLORESTA DO PIAUI,228,1635
Sudeste,MG,FLORESTAL,2431,2699
Sul,PR,FLORESTOPOLIS,3636,3991
Nordeste,PI,FLORIANO,8425,26202
Sul,RS,FLORIANO PEIXOTO,833,687
Sul,SC,FLORIANOPOLIS,169495,148344
Sul,PR,FLORIDA,990,934
Sudeste,SP,FLORIDA PAULISTA,3740,2246
Sudeste,SP,FLORINEA,1002,1016
Norte,AM,FONTE BOA,2480,8421
Sul,RS,FONTOURA XAVIER,2720,3684
Sudeste,MG,FORMIGA,26008,15808
Sul,RS,FORMIGUEIRO,2062,2258
Centro-Oeste,GO,FORMOSA,33414,24698
Nordeste,MA,FORMOSA DA SERRA NEGRA,3724,6409
Sul,PR,FORMOSA DO OESTE,3162,1711
Nordeste,BA,FORMOSA DO RIO PRETO,4247,10674
Sul,SC,FORMOSA DO SUL,1010,1009
Centro-Oeste,GO,FORMOSO,1607,1799
Sudeste,MG,FORMOSO,1706,2664
Norte,TO,FORMOSO DO ARAGUAIA,5747,4698
Sul,RS,FORQUETINHA,1369,636
Nordeste,CE,FORQUILHA,4633,10387
Sul,SC,FORQUILHINHA,12462,4531
Nordeste,CE,FORTALEZA,633009,880559
Sudeste,MG,FORTALEZA DE MINAS,1281,1022
Nordeste,MA,FORTALEZA DOS NOGUEIRAS,2381,5516
Sul,RS,FORTALEZA DOS VALOS,1791,1357
Nordeste,CE,FORTIM,3694,8237
Nordeste,MA,FORTUNA,1637,7475
Sudeste,MG,FORTUNA DE MINAS,817,1340
Sul,PR,FOZ DO IGUACU,104235,53259
Sul,PR,FOZ DO JORDAO,1170,2059
Sul,SC,FRAIBURGO,13748,7517
Sudeste,SP,FRANCA,119713,67686
Nordeste,PI,FRANCINOPOLIS,393,2783
Sul,PR,FRANCISCO ALVES,2941,1712
Nordeste,PI,FRANCISCO AYRES,510,2857
Sudeste,MG,FRANCISCO BADARO,1256,3201
Sul,PR,FRANCISCO BELTRAO,29417,25034
Nordeste,RN,FRANCISCO DANTAS,389,1859
Sudeste,MG,FRANCISCO DUMONT,1164,1879
Nordeste,PI,FRANCISCO MACEDO,322,1820
Sudeste,SP,FRANCISCO MORATO,38789,57575
Sudeste,MG,FRANCISCO SA,3865,10303
Nordeste,PI,FRANCISCO SANTOS,867,4616
Sudeste,MG,FRANCISCOPOLIS,954,2352
Sudeste,SP,FRANCO DA ROCHA,35285,42174
Exterior,ZZ,FRANKFURT,1453,3647
Nordeste,CE,FRECHEIRINHA,2505,7822
Sul,RS,FREDERICO WESTPHALEN,12234,7918
Sudeste,MG,FREI GASPAR,1177,2587
Sudeste,MG,FREI INOCENCIO,2032,2846
Sudeste,MG,FREI LAGONEGRO,779,1751
Nordeste,PB,FREI MARTINHO,562,1636
Nordeste,PE,FREI MIGUELINHO,2662,7181
Nordeste,SE,FREI PAULO,3845,6322
Sul,SC,FREI ROGERIO,1103,716
Sudeste,MG,FRONTEIRA,3594,4249
Sudeste,MG,FRONTEIRA DOS VALES,648,2372
Nordeste,PI,FRONTEIRAS,1381,5704
Sudeste,MG,FRUTA DE LEITE,596,2500
Sudeste,MG,FRUTAL,17561,13705
Nordeste,RN,FRUTUOSO GOMES,529,2634
Sudeste,ES,FUNDAO,5434,5120
Sudeste,MG,FUNILANDIA,1995,1687
Exterior,ZZ,GABORONE,0,0
Sudeste,SP,GABRIEL MONTEIRO,1413,615
Nordeste,PB,GADO BRAVO,997,4710
Sudeste,SP,GALIA,1844,1892
Sudeste,MG,GALILEIA,1832,1932
Nordeste,RN,GALINHOS,776,1074
Sul,SC,GALVAO,1295,949
Nordeste,PE,GAMELEIRA,3379,7613
Centro-Oeste,GO,GAMELEIRA DE GOIAS,1396,1157
Sudeste,MG,GAMELEIRAS,1068,2348
Nordeste,BA,GANDU,6300,10980
Nordeste,PE,GARANHUNS,19731,55436
Nordeste,SE,GARARU,1140,6050
Sudeste,SP,GARCA,16940,8113
Sul,RS,GARIBALDI,16455,5250
Sul,SC,GAROPABA,10197,6620
Norte,PA,GARRAFAO DO NORTE,4355,11899
Sul,RS,GARRUCHOS,732,1219
Sul,SC,GARUVA,7045,2533
Sul,SC,GASPAR,29558,9881
Sudeste,SP,GASTAO VIDIGAL,983,1267
Centro-Oeste,MT,GAUCHA DO NORTE,2757,1268
Sul,RS,GAURAMA,2964,1375
Nordeste,BA,GAVIAO,888,2328
Sudeste,SP,GAVIAO PEIXOTO,1292,1765
Nordeste,PI,GEMINIANO,719,4226
Exterior,ZZ,GENEBRA,2279,2320
Sul,RS,GENERAL CAMARA,2311,2521
Sul,PR,GENERAL CARNEIRO,3101,3452
Centro-Oeste,MT,GENERAL CARNEIRO,1526,1501
Nordeste,SE,GENERAL MAYNARD,539,1646
Sudeste,SP,GENERAL SALGADO,4049,2256
Nordeste,CE,GENERAL SAMPAIO,1037,4708
Sul,RS,GENTIL,996,341
Nordeste,BA,GENTIO DO OURO,1072,6496
Exterior,ZZ,GEORGETOWN,58,8
Sudeste,SP,GETULINA,3052,2350
Sul,RS,GETULIO VARGAS,7346,2896
Nordeste,PI,GILBUES,1129,5033
Nordeste,AL,GIRAU DO PONCIANO,3511,15744
Sul,RS,GIRUA,6709,3695
Sudeste,MG,GLAUCILANDIA,847,2167
Sudeste,SP,GLICERIO,1678,1216
Nordeste,BA,GLORIA,1140,8843
Centro-Oeste,MT,GLORIA D'OESTE,1354,654
Centro-Oeste,MS,GLORIA DE DOURADOS,3091,2673
Nordeste,PE,GLORIA DO GOITA,4353,13365
Sul,RS,GLORINHA,3446,1650
Nordeste,MA,GODOFREDO VIANA,1634,4078
Sul,PR,GODOY MOREIRA,819,1251
Sudeste,MG,GOIABEIRA,1287,970
Sudeste,MG,GOIANA,1397,1752
Nordeste,PE,GOIANA,17502,31879
Centro-Oeste,GO,GOIANAPOLIS,5779,2209
Centro-Oeste,GO,GOIANDIRA,1543,1944
Centro-Oeste,GO,GOIANESIA,25164,18339
Norte,PA,GOIANESIA DO PARA,6556,8674
Centro-Oeste,GO,GOIANIA,513018,289172
Nordeste,RN,GOIANINHA,5885,10925
Centro-Oeste,GO,GOIANIRA,16788,13554
Norte,TO,GOIANORTE,1589,1748
Centro-Oeste,GO,GOIAS,6307,8240
Norte,TO,GOIATINS,1715,4392
Centro-Oeste,GO,GOIATUBA,13024,7875
Sul,PR,GOIOERE,11033,6090
Sul,PR,GOIOXIM,1475,2635
Sudeste,MG,GONCALVES,1853,1115
Nordeste,MA,GONCALVES DIAS,2101,7386
Nordeste,BA,GONGOGI,794,2752
Sudeste,MG,GONZAGA,1143,1885
Sudeste,MG,GOUVEIA,2251,5279
Centro-Oeste,GO,GOUVELANDIA,1145,1717
Nordeste,MA,GOVERNADOR ARCHER,1077,4931
Sul,SC,GOVERNADOR CELSO RAMOS,9277,2785
Nordeste,RN,GOVERNADOR DIX-SEPT ROSADO,1930,7550
Nordeste,MA,GOVERNADOR EDISON LOBAO,4219,6919
Nordeste,MA,GOVERNADOR EUGENIO BARROS,1529,6687
