regiao,estado,municipio,votos_Bolsonaro,votos_Lula
Norte,AM,ALVARAES,2102,5978
Sudeste,MG,ALVARENGA,1516,1862
Sudeste,SP,ALVARES FLORENCE,1872,984
Sudeste,SP,ALVARES MACHADO,8665,5724
Sudeste,SP,ALVARO DE CARVALHO,1094,1017
Sudeste,SP,ALVINLANDIA,1074,957
Sudeste,MG,ALVINOPOLIS,3041,6851
Sul,RS,ALVORADA,51956,51231
Norte,TO,ALVORADA,2965,2438
Sudeste,MG,ALVORADA DE MINAS,724,2284
Nordeste,PI,ALVORADA DO GURGUEIA,631,2823
Centro-Oeste,GO,ALVORADA DO NORTE,2280,2494
Norte,RO,ALVORADA DO OESTE,5306,2933
Sul,PR,ALVORADA DO SUL,3387,2203
Exterior,ZZ,AMA,125,407
Norte,RR,AMAJARI,3610,1066
Centro-Oeste,MS,AMAMBAI,11008,8200
Norte,AP,AMAPA,1663,2785
Nordeste,MA,AMAPA DO MARANHAO,902,2996
Sul,PR,AMAPORA,1554,1621
Nordeste,PE,AMARAJI,3949,8717
Sul,RS,AMARAL FERRADOR,1757,1746
Centro-Oeste,GO,AMARALINA,994,1315
Nordeste,PI,AMARANTE,1834,9530
Nordeste,MA,AMARANTE DO MARANHAO,8491,11468
Nordeste,BA,AMARGOSA,6678,14755
Norte,AM,AMATURA,1182,3880
Nordeste,BA,AMELIA RODRIGUES,2919,11878
Nordeste,BA,AMERICA DOURADA,1547,8303
Sudeste,SP,AMERICANA,92771,45165
Centro-Oeste,GO,AMERICANO DO BRASIL,2020,2043
Sudeste,SP,AMERICO BRASILIENSE,9600,11678
Sudeste,SP,AMERICO DE CAMPOS,2481,1411
Sul,RS,AMETISTA DO SUL,2797,2121
Nordeste,CE,AMONTADA,5691,20068
Centro-Oeste,GO,AMORINOPOLIS,1588,1300
Sudeste,SP,AMPARO,28122,13354
Nordeste,PB,AMPARO,235,1781
Nordeste,SE,AMPARO DE SAO FRANCISCO,559,1445
Sudeste,MG,AMPARO DO SERRA,865,2658
Sul,PR,AMPERE,5311,6784
Exterior,ZZ,AMSTERDA,1242,4511
Nordeste,AL,ANADIA,2019,6166
Nordeste,BA,ANAGE,2977,11104
Sul,PR,ANAHY,1086,1112
Norte,PA,ANAJAS,6968,7201
Nordeste,MA,ANAJATUBA,2252,11941
Sudeste,SP,ANALANDIA,1984,992
Norte,AM,ANAMA,2051,3733
Norte,TO,ANANAS,2145,3224
Norte,PA,ANANINDEUA,138978,137406
Centro-Oeste,GO,ANAPOLIS,153507,63960
Norte,PA,ANAPU,9673,6037
Nordeste,MA,ANAPURUS,2066,8630
Centro-Oeste,MS,ANASTACIO,6944,5902
Centro-Oeste,MS,ANAURILANDIA,2100,2305
Exterior,ZZ,ANCARA,8,20
Sudeste,ES,ANCHIETA,10535,7419
Sul,SC,ANCHIETA,2282,1861
Nordeste,BA,ANDARAI,1001,6423
Sul,PR,ANDIRA,7396,5141
Nordeste,BA,ANDORINHA,963,8929
Sudeste,MG,ANDRADAS,15286,7746
Sudeste,SP,ANDRADINA,21248,12281
Sul,RS,ANDRE DA ROCHA,733,320
Sudeste,MG,ANDRELANDIA,3159,3978
Sudeste,SP,ANGATUBA,7310,5799
Sudeste,MG,ANGELANDIA,2042,2513
Centro-Oeste,MS,ANGELICA,3210,3050
Nordeste,PE,ANGELIM,1460,5227
Sul,SC,ANGELINA,2462,1766
Nordeste,BA,ANGICAL,2096,7728
Nordeste,PI,ANGICAL DO PIAUI,936,4205
Norte,TO,ANGICO,785,1124
Nordeste,RN,ANGICOS,2368,5347
Sudeste,RJ,ANGRA DOS REIS,65638,32899
Nordeste,BA,ANGUERA,1127,5963
Sul,PR,ANGULO,1437,729
Centro-Oeste,GO,ANHANGUERA,396,458
