regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado
Sul,SC,CHAPADAO DO LAGEADO,2988,750,6
Centro-Oeste,MS,CHAPADAO DO SUL,25218,8979,82
Nordeste,MA,CHAPADINHA,79675,9454,134
Sul,SC,CHAPECO,220367,74358,867
Sudeste,SP,CHARQUEADA,17190,4198,52
Sul,RS,CHARQUEADAS,40789,9693,123
Sul,RS,CHARRUA,3279,611,12
Nordeste,CE,CHAVAL,13069,1939,27
Sudeste,SP,CHAVANTES,12418,2776,61
Norte,PA,CHAVES,23717,975,7
Sudeste,MG,CHIADOR,2687,608,9
Sul,RS,CHIAPETTA,3756,1221,21
Sul,PR,CHOPINZINHO,19254,4619,61
Nordeste,CE,CHORO,13521,1788,18
Nordeste,CE,CHOROZINHO,20264,2812,42
Nordeste,BA,CHORROCHO,11177,931,16
Sul,RS,CHUI,6704,1012,6
Norte,RO,CHUPINGUAIA,11182,3074,28
Sul,RS,CHUVISCA,5441,931,6
Sul,PR,CIANORTE,82620,22777,214
Nordeste,BA,CICERO DANTAS,32515,3045,62
Sul,PR,CIDADE GAUCHA,12652,3608,38
Centro-Oeste,GO,CIDADE OCIDENTAL,71376,10431,197
Nordeste,MA,CIDELANDIA,14697,800,8
Sul,RS,CIDREIRA,16254,5020,86
Nordeste,BA,CIPO,17300,1873,19
Sudeste,MG,CIPOTANEA,6787,1007,26
Sul,RS,CIRIACO,4747,1497,31
Sudeste,MG,CLARAVAL,4843,1092,4
Sudeste,MG,CLARO DOS POCOES,7551,1355,12
Centro-Oeste,MT,CLAUDIA,12149,3697,49
Sudeste,MG,CLAUDIO,28617,4283,71
Sudeste,SP,CLEMENTINA,8617,979,24
Sul,PR,CLEVELANDIA,16559,3991,98
Nordeste,BA,COARACI,16993,2804,59
Norte,AM,COARI,85097,11806,249
Nordeste,PI,COCAL,27787,2002,51
Nordeste,PI,COCAL DE TELHA,4891,632,14
Sul,SC,COCAL DO SUL,16684,5769,64
Nordeste,PI,COCAL DOS ALVES,6153,429,8
Centro-Oeste,MT,COCALINHO,5700,1952,17
Centro-Oeste,GO,COCALZINHO DE GOIAS,20240,6306,47
Nordeste,BA,COCOS,18777,2235,25
Norte,AM,CODAJAS,28637,3126,27
Nordeste,MA,CODO,122859,4835,234
Nordeste,MA,COELHO NETO,49435,2287,52
Sudeste,MG,COIMBRA,7556,1040,13
Nordeste,AL,COITE DO NOIA,10693,772,23
Nordeste,PI,COIVARAS,4020,360,6
Norte,PA,COLARES,12085,1057,23
Sudeste,ES,COLATINA,122499,52303,414
Centro-Oeste,MT,COLIDER,33438,12592,168
Sudeste,SP,COLINA,18468,2606,73
Sul,RS,COLINAS,2438,909,4
Nordeste,MA,COLINAS,41178,3897,57
Centro-Oeste,GO,COLINAS DO SUL,3382,914,6
Norte,TO,COLINAS DO TOCANTINS,35424,10534,165
Norte,TO,COLMEIA,8205,1587,29
Centro-Oeste,MT,COLNIZA,38582,5555,95
Sudeste,SP,COLOMBIA,6210,1325,19
Sul,PR,COLOMBO,243726,48677,915
Nordeste,PI,COLONIA DO GURGUEIA,6484,728,14
Nordeste,PI,COLONIA DO PIAUI,7656,999,6
Nordeste,AL,COLONIA LEOPOLDINA,21698,522,23
Sul,PR,COLORADO,24012,7114,95
Sul,RS,COLORADO,3175,1518,15
Norte,RO,COLORADO DO OESTE,15882,4798,55
Sudeste,MG,COLUNA,8873,969,12
Norte,TO,COMBINADO,4852,1606,17
Sudeste,MG,COMENDADOR GOMES,3111,621,5
Sudeste,RJ,COMENDADOR LEVY GASPARIAN,8561,1835,34
Sudeste,MG,COMERCINHO,6929,596,6
Centro-Oeste,MT,COMODORO,20763,3899,46
Nordeste,PB,CONCEICAO,18982,953,32
Sudeste,MG,CONCEICAO DA APARECIDA,10292,1619,12
Sudeste,ES,CONCEICAO DA BARRA,31063,7375,79
Sudeste,MG,CONCEICAO DA BARRA DE MINAS,3954,748,8
Nordeste,BA,CONCEICAO DA FEIRA,22581,2359,35
Sudeste,MG,CONCEICAO DAS ALAGOAS,27893,6470,158
Sudeste,MG,CONCEICAO DAS PEDRAS,2812,422,5
Sudeste,MG,CONCEICAO DE IPANEMA,4574,706,5
Sudeste,RJ,CONCEICAO DE MACABU,23228,3314,84
Nordeste,BA,CONCEICAO DO ALMEIDA,17247,4134,34
Norte,PA,CONCEICAO DO ARAGUAIA,47864,9276,63
Nordeste,PI,CONCEICAO DO CANINDE,4803,533,7
Sudeste,ES,CONCEICAO DO CASTELO,12723,3530,35
Nordeste,BA,CONCEICAO DO COITE,66612,10744,58
Nordeste,BA,CONCEICAO DO JACUIPE,33153,5077,49
Nordeste,MA,CONCEICAO DO LAGO-ACU,16237,355,12
Sudeste,MG,CONCEICAO DO MATO DENTRO,17842,4867,39
Sudeste,MG,CONCEICAO DO PARA,5507,753,11
Sudeste,MG,CONCEICAO DO RIO VERDE,13638,2527,31
Norte,TO,CONCEICAO DO TOCANTINS,4105,613,12
Sudeste,MG,CONCEICAO DOS OUROS,11638,1855,40
Sudeste,SP,CONCHAL,28050,5083,95
Sudeste,SP,CONCHAS,17896,3958,84
Sul,SC,CONCORDIA,74641,28621,246
Norte,PA,CONCORDIA DO PARA,33318,3290,36
Nordeste,PE,CONDADO,26421,3077,46
Nordeste,PB,CONDADO,6654,1260,11
Nordeste,BA,CONDE,25837,1307,18
Nordeste,PB,CONDE,24670,4485,49
Nordeste,BA,CONDEUBA,17247,2260,35
Sul,RS,CONDOR,6753,2404,11
Sudeste,MG,CONEGO MARINHO,7642,387,4
Sudeste,MG,CONFINS,6730,550,19
Centro-Oeste,MT,CONFRESA,30933,6403,121
Nordeste,PB,CONGO,4786,638,17
Sudeste,MG,CONGONHAL,11950,2968,34
Sudeste,MG,CONGONHAS,54762,12721,117
Sudeste,MG,CONGONHAS DO NORTE,5045,376,4
Sul,PR,CONGONHINHAS,8818,2774,40
Sudeste,MG,CONQUISTA,6939,2373,21
Centro-Oeste,MT,CONQUISTA D'OESTE,4038,1230,19
Sudeste,MG,CONSELHEIRO LAFAIETE,128589,27179,328
Sul,PR,CONSELHEIRO MAIRINCK,3860,1304,17
Sudeste,MG,CONSELHEIRO PENA,22921,3734,71
Sudeste,MG,CONSOLACAO,1783,546,5
Sul,RS,CONSTANTINA,9911,2084,19
Sudeste,MG,CONTAGEM,663855,78690,2234
Sul,PR,CONTENDA,18584,4244,76
Nordeste,BA,CONTENDAS DO SINCORA,4066,399,7
Sudeste,MG,COQUEIRAL,9159,1645,28
Sul,RS,COQUEIRO BAIXO,1501,429,3
Nordeste,AL,COQUEIRO SECO,5845,616,9
Sul,RS,COQUEIROS DO SUL,2306,320,9
Sudeste,MG,CORACAO DE JESUS,26602,2282,25
Nordeste,BA,CORACAO DE MARIA,22605,3093,26
Sul,PR,CORBELIA,17071,5193,56
Sudeste,RJ,CORDEIRO,21926,7260,28
Sudeste,SP,CORDEIROPOLIS,24528,6031,117
Nordeste,BA,CORDEIROS,8614,1020,10
Sul,SC,CORDILHEIRA ALTA,4453,1176,10
Sudeste,MG,CORDISBURGO,8890,414,21
Sudeste,MG,CORDISLANDIA,3538,628,4
Nordeste,CE,COREAU,23136,3327,71
Nordeste,PB,COREMAS,15445,3661,43
Centro-Oeste,MS,CORGUINHO,5947,530,13
Nordeste,BA,CORIBE,14194,1948,23
Sudeste,MG,CORINTO,23731,3307,65
Sul,PR,CORNELIO PROCOPIO,47845,16420,197
Sudeste,MG,COROACI,9991,1063,23
Sudeste,SP,COROADOS,6058,1588,24
Nordeste,MA,COROATA,65296,4067,103
Sudeste,MG,COROMANDEL,27974,6704,100
Sul,RS,CORONEL BARROS,2519,1254,9
Sul,RS,CORONEL BICACO,7325,1396,41
Sul,PR,CORONEL DOMINGOS SOARES,7497,2241,22
Nordeste,RN,CORONEL EZEQUIEL,5506,285,8
Sudeste,MG,CORONEL FABRICIANO,109855,21724,387
Sul,SC,CORONEL FREITAS,9981,2802,34
Nordeste,RN,CORONEL JOAO PESSOA,4912,925,8
Nordeste,BA,CORONEL JOAO SA,15895,1768,21
Nordeste,PI,CORONEL JOSE DIAS,4682,131,6
Sudeste,SP,CORONEL MACEDO,4681,691,30
Sul,SC,CORONEL MARTINS,2549,569,3
Sudeste,MG,CORONEL MURTA,9222,822,10
Sudeste,MG,CORONEL PACHECO,3086,219,10
Sul,RS,CORONEL PILAR,1628,360,7
Centro-Oeste,MS,CORONEL SAPUCAIA,15253,1605,45
Sul,PR,CORONEL VIVIDA,20734,6329,91
Sudeste,MG,CORONEL XAVIER CHAVES,3434,1061,4
Sudeste,MG,CORREGO DANTA,3215,493,10
Sudeste,MG,CORREGO DO BOM JESUS,3704,1324,8
Centro-Oeste,GO,CORREGO DO OURO,2327,1131,8
Sudeste,MG,CORREGO FUNDO,6337,1964,9
Sudeste,MG,CORREGO NOVO,2771,404,14
Sul,SC,CORREIA PINTO,12795,3736,67
Nordeste,PI,CORRENTE,26644,2313,35
Nordeste,PE,CORRENTES,18207,771,14
Nordeste,BA,CORRENTINA,32137,4690,50
Nordeste,PE,CORTES,12578,626,28
Centro-Oeste,MS,CORUMBA,111435,22710,523
Centro-Oeste,GO,CORUMBA DE GOIAS,11110,1885,39
Centro-Oeste,GO,CORUMBAIBA,9723,2403,40
Sudeste,SP,CORUMBATAI,4055,977,9
Sul,PR,CORUMBATAI DO SUL,3219,747,8
Norte,RO,CORUMBIARA,7391,2332,25
Sul,SC,CORUPA,15909,3424,43
Nordeste,AL,CORURIPE,56933,6080,73
Sudeste,SP,COSMOPOLIS,72252,8028,195
Sudeste,SP,COSMORAMA,7307,2168,48
Norte,RO,COSTA MARQUES,18331,4612,46
Centro-Oeste,MS,COSTA RICA,20823,7340,86
Nordeste,BA,COTEGIPE,13782,1406,26
Sudeste,SP,COTIA,249210,28485,807
Sul,RS,COTIPORA,3853,1621,6
Centro-Oeste,MT,COTRIGUACU,19750,2066,40
Sudeste,MG,COUTO DE MAGALHAES DE MINAS,4410,309,7
Norte,TO,COUTO MAGALHAES,5588,1232,9
Sul,RS,COXILHA,2756,683,13
Centro-Oeste,MS,COXIM,33543,8064,131
Nordeste,PB,COXIXOLA,1921,178,4
Nordeste,AL,CRAIBAS,24219,1659,35
Nordeste,CE,CRATEUS,75074,18258,243
Nordeste,CE,CRATO,132123,28132,266
Sudeste,SP,CRAVINHOS,35292,2267,118
Nordeste,BA,CRAVOLANDIA,5349,847,2
Sul,SC,CRICIUMA,215186,55920,740
Sudeste,MG,CRISOLITA,6704,416,3
Nordeste,BA,CRISOPOLIS,21103,761,19
Sul,RS,CRISSIUMAL,13448,2976,26
Sudeste,MG,CRISTAIS,12798,2754,32
Sudeste,SP,CRISTAIS PAULISTA,8631,1306,20
Sul,RS,CRISTAL,8009,2258,26
Sul,RS,CRISTAL DO SUL,2847,802,2
Norte,TO,CRISTALANDIA,7289,735,18
Nordeste,PI,CRISTALANDIA DO PIAUI,8294,72,4
Sudeste,MG,CRISTALIA,5971,592,3
Centro-Oeste,GO,CRISTALINA,58997,9114,130
Sudeste,MG,CRISTIANO OTONI,5150,812,19
Centro-Oeste,GO,CRISTIANOPOLIS,2966,422,5
Sudeste,MG,CRISTINA,10242,1700,11
Nordeste,SE,CRISTINAPOLIS,17874,1085,32
Nordeste,PI,CRISTINO CASTRO,10423,1060,14
Nordeste,BA,CRISTOPOLIS,13910,1415,11
Centro-Oeste,GO,CRIXAS,16949,4799,69
Norte,TO,CRIXAS DO TOCANTINS,1722,392,0
Nordeste,CE,CROATA,18063,1980,18
Centro-Oeste,GO,CROMINIA,3486,1428,9
Sudeste,MG,CRUCILANDIA,5034,1480,12
Nordeste,CE,CRUZ,24827,5574,61
Sul,RS,CRUZ ALTA,60299,22392,272
Nordeste,BA,CRUZ DAS ALMAS,63239,8606,80
Nordeste,PB,CRUZ DO ESPIRITO SANTO,17319,1379,28
Sul,PR,CRUZ MACHADO,18708,2712,39
Sudeste,SP,CRUZALIA,2073,226,6
Sul,RS,CRUZALTENSE,1833,324,7
Sudeste,SP,CRUZEIRO,82238,7195,247
Sudeste,MG,CRUZEIRO DA FORTALEZA,3626,935,8
Sul,PR,CRUZEIRO DO IGUACU,4252,1117,14
Sul,PR,CRUZEIRO DO OESTE,20932,5481,94
Norte,AC,CRUZEIRO DO SUL,88376,17081,187
Sul,RS,CRUZEIRO DO SUL,12348,2114,42
Sul,PR,CRUZEIRO DO SUL,4469,1420,12
Nordeste,RN,CRUZETA,7998,2145,17
Sudeste,MG,CRUZILIA,15417,3316,55
Sul,PR,CRUZMALTINA,2950,897,8
Sudeste,SP,CUBATAO,130705,17722,547
Nordeste,PB,CUBATI,7797,804,16
Centro-Oeste,MT,CUIABA,612547,150104,3737
Nordeste,PB,CUITE,20338,3775,31
Nordeste,PB,CUITE DE MAMANGUAPE,6353,359,16
Nordeste,PB,CUITEGI,6803,1284,26
Norte,RO,CUJUBIM,25215,4985,45
Centro-Oeste,GO,CUMARI,2854,870,12
Nordeste,PE,CUMARU,10906,1552,22
Norte,PA,CUMARU DO NORTE,13473,1398,12
Nordeste,SE,CUMBE,3987,381,4
Sudeste,SP,CUNHA,21547,1190,44
Sul,SC,CUNHA PORA,11086,1961,30
Sul,SC,CUNHATAI,1962,206,4
Sudeste,MG,CUPARAQUE,4982,1065,15
Nordeste,PE,CUPIRA,24107,3767,57
Nordeste,BA,CURACA,34700,2353,41
Nordeste,PI,CURIMATA,11388,1219,20
Norte,PA,CURIONOPOLIS,17929,2739,39
Sul,PR,CURITIBA,1933105,298448,8588
Sul,SC,CURITIBANOS,39745,10838,214
Sul,PR,CURIUVA,15101,2888,49
Nordeste,PI,CURRAIS,4954,650,3
Nordeste,RN,CURRAIS NOVOS,44786,7376,112
Nordeste,PB,CURRAL DE CIMA,5227,898,4
Sudeste,MG,CURRAL DE DENTRO,7729,1111,18
Nordeste,PI,CURRAL NOVO DO PIAUI,5343,359,2
Nordeste,PB,CURRAL VELHO,2516,765,1
Norte,PA,CURRALINHO,34448,583,36
Nordeste,PI,CURRALINHOS,4443,667,3
Norte,PA,CURUA,14393,2682,26
Norte,PA,CURUCA,40066,2861,90
Nordeste,MA,CURURUPU,32695,2864,30
Centro-Oeste,MT,CURVELANDIA,5219,1246,19
Sudeste,MG,CURVELO,80129,9348,308
Nordeste,PE,CUSTODIA,37111,1101,68
Norte,AP,CUTIAS,5983,1180,7
Centro-Oeste,GO,DAMIANOPOLIS,3311,653,7
Nordeste,PB,DAMIAO,5330,526,6
Centro-Oeste,GO,DAMOLANDIA,2938,822,15
Norte,TO,DARCINOPOLIS,6097,1083,14
Nordeste,BA,DARIO MEIRA,10710,1237,23
Sudeste,MG,DATAS,5410,1154,16
Sul,RS,DAVID CANABARRO,4740,1541,17
Nordeste,MA,DAVINOPOLIS,12908,823,33
Centro-Oeste,GO,DAVINOPOLIS,2094,311,9
Sudeste,MG,DELFIM MOREIRA,8025,975,34
Sudeste,MG,DELFINOPOLIS,7114,2028,16
Nordeste,AL,DELMIRO GOUVEIA,52016,6506,151
Sudeste,MG,DELTA,10533,2440,32
Nordeste,PI,DEMERVAL LOBAO,13817,3824,41
Centro-Oeste,MT,DENISE,9462,1345,21
Centro-Oeste,MS,DEODAPOLIS,12924,3725,47
Nordeste,CE,DEPUTADO IRAPUAN PINHEIRO,9625,1260,14
Sul,RS,DERRUBADAS,2805,1049,8
Sudeste,SP,DESCALVADO,33718,8947,104
Sul,SC,DESCANSO,8250,1684,21
Sudeste,MG,DESCOBERTO,5013,361,12
Nordeste,PB,DESTERRO,8297,1165,12
Sudeste,MG,DESTERRO DE ENTRE RIOS,7243,1187,13
Sudeste,MG,DESTERRO DO MELO,2901,687,3
Sul,RS,DEZESSEIS DE NOVEMBRO,2427,486,5
Sudeste,SP,DIADEMA,423884,31554,1552
Nordeste,PB,DIAMANTE,6552,1064,12
Sul,PR,DIAMANTE D'OESTE,5253,1126,23
Sul,PR,DIAMANTE DO NORTE,5087,1007,17
Sul,PR,DIAMANTE DO SUL,3439,975,19
Sudeste,MG,DIAMANTINA,47723,10580,108
Centro-Oeste,MT,DIAMANTINO,22041,6014,74
Norte,TO,DIANOPOLIS,22139,3766,44
Nordeste,BA,DIAS D'AVILA,81089,7764,187
Sul,RS,DILERMANDO DE AGUIAR,3014,319,5
Sudeste,MG,DIOGO DE VASCONCELOS,3802,311,1
Sudeste,MG,DIONISIO,7729,747,20
Sul,SC,DIONISIO CERQUEIRA,15498,3473,58
Centro-Oeste,GO,DIORAMA,2484,656,6
Sudeste,SP,DIRCE REIS,1793,329,6
Nordeste,PI,DIRCEU ARCOVERDE,7011,370,13
Nordeste,SE,DIVINA PASTORA,5138,1041,12
Sudeste,MG,DIVINESIA,3417,969,11
Sudeste,MG,DIVINO,19931,2580,46
Sudeste,MG,DIVINO DAS LARANJEIRAS,4979,520,16
Sudeste,ES,DIVINO DE SAO LOURENCO,4304,1015,15
Sudeste,SP,DIVINOLANDIA,11146,2284,49
Sudeste,MG,DIVINOLANDIA DE MINAS,7571,604,15
Sudeste,MG,DIVINOPOLIS,238230,45265,754
Centro-Oeste,GO,DIVINOPOLIS DE GOIAS,4804,884,12
Norte,TO,DIVINOPOLIS DO TOCANTINS,6900,1360,11
Sudeste,MG,DIVISA ALEGRE,6786,872,10
Sudeste,MG,DIVISA NOVA,6011,1267,16
Sudeste,MG,DIVISOPOLIS,11019,1121,7
Sudeste,SP,DOBRADA,8929,633,13
Sudeste,SP,DOIS CORREGOS,27315,2085,46
Sul,RS,DOIS IRMAOS,32671,7999,84
Sul,RS,DOIS IRMAOS DAS MISSOES,2026,639,5
Centro-Oeste,MS,DOIS IRMAOS DO BURITI,11385,1842,33
Norte,TO,DOIS IRMAOS DO TOCANTINS,7198,1234,20
Sul,RS,DOIS LAJEADOS,3400,883,7
Nordeste,AL,DOIS RIACHOS,11075,855,9
Sul,PR,DOIS VIZINHOS,40641,13328,108
Sudeste,SP,DOLCINOPOLIS,2115,440,9
Centro-Oeste,MT,DOM AQUINO,8178,1545,31
Nordeste,BA,DOM BASILIO,12199,1634,19
Sudeste,MG,DOM BOSCO,3677,901,9
Sudeste,MG,DOM CAVATI,5072,977,27
Norte,PA,DOM ELISEU,59719,3218,73
Nordeste,PI,DOM EXPEDITO LOPES,6904,783,12
Sul,RS,DOM FELICIANO,15414,1915,30
Nordeste,PI,DOM INOCENCIO,9556,631,8
Sudeste,MG,DOM JOAQUIM,4195,850,7
Nordeste,BA,DOM MACEDO COSTA,4058,475,10
Sul,RS,DOM PEDRITO,38461,10319,128
Nordeste,MA,DOM PEDRO,23350,2317,41
Sul,RS,DOM PEDRO DE ALCANTARA,2534,557,8
Sudeste,MG,DOM SILVERIO,5237,1033,19
Sudeste,MG,DOM VICOSO,3001,732,8
Sudeste,ES,DOMINGOS MARTINS,33850,12275,98
Nordeste,PI,DOMINGOS MOURAO,4355,281,5
Sul,SC,DONA EMMA,4146,1120,7
Sudeste,MG,DONA EUSEBIA,6572,1968,21
Sul,RS,DONA FRANCISCA,3041,257,8
Nordeste,PB,DONA INES,10453,1065,21
Sudeste,MG,DORES DE CAMPOS,10153,2172,38
Sudeste,MG,DORES DE GUANHAES,5169,840,10
Sudeste,MG,DORES DO INDAIA,13483,2490,23
Sudeste,ES,DORES DO RIO PRETO,6749,1764,15
Sudeste,MG,DORES DO TURVO,4259,468,17
Sudeste,MG,DORESOPOLIS,1527,352,1
Nordeste,PE,DORMENTES,18908,2923,10
Sul,PR,DOURADINA,8747,2948,20
Centro-Oeste,MS,DOURADINA,5924,1363,15
Sudeste,SP,DOURADO,8873,2713,26
Sudeste,MG,DOURADOQUARA,1908,677,4
Centro-Oeste,MS,DOURADOS,222949,54989,764
Sul,PR,DOUTOR CAMARGO,5979,1557,20
Sul,RS,DOUTOR MAURICIO CARDOSO,4549,734,18
Sul,SC,DOUTOR PEDRINHO,4064,603,7
Sul,RS,DOUTOR RICARDO,1983,663,4
Nordeste,RN,DOUTOR SEVERIANO,7076,1685,23
Sul,PR,DOUTOR ULYSSES,5580,859,9
Centro-Oeste,GO,DOVERLANDIA,7322,1718,22
Sudeste,SP,DRACENA,46793,12157,305
Sudeste,SP,DUARTINA,12445,2246,35
Sudeste,RJ,DUAS BARRAS,11492,361,8
Nordeste,PB,DUAS ESTRADAS,3596,1071,20
Norte,TO,DUERE,4686,546,10
Sudeste,SP,DUMONT,9868,2672,28
Nordeste,MA,DUQUE BACELAR,11349,895,19
Sudeste,RJ,DUQUE DE CAXIAS,919596,41088,1950
Sudeste,MG,DURANDE,7841,1896,15
Sudeste,SP,ECHAPORA,6102,820,29
Sudeste,ES,ECOPORANGA,22923,7662,94
Centro-Oeste,GO,EDEALINA,3699,2072,10
Centro-Oeste,GO,EDEIA,12372,4877,42
Norte,AM,EIRUNEPE,35273,5904,35
Centro-Oeste,MS,ELDORADO,12353,2055,55
Sudeste,SP,ELDORADO,15494,3393,34
Sul,RS,ELDORADO DO SUL,41285,11290,157
Norte,PA,ELDORADO DOS CARAJAS,33808,1355,37
Nordeste,PI,ELESBAO VELOSO,14602,757,33
Sudeste,SP,ELIAS FAUSTO,17772,2575,41
Nordeste,PI,ELISEU MARTINS,4915,369,17
Sudeste,SP,ELISIARIO,3651,634,13
Nordeste,BA,ELISIO MEDRADO,8122,781,10
Sudeste,MG,ELOI MENDES,28076,6060,65
Nordeste,PB,EMAS,3522,382,6
Sudeste,SP,EMBAUBA,2452,132,11
Sudeste,SP,EMBU DAS ARTES,273726,11206,736
Sudeste,SP,EMBU-GUACU,69385,5931,240
Sudeste,SP,EMILIANOPOLIS,3214,908,10
Sul,RS,ENCANTADO,22706,3904,62
Nordeste,RN,ENCANTO,5638,1126,19
Nordeste,BA,ENCRUZILHADA,17006,945,24
Sul,RS,ENCRUZILHADA DO SUL,25877,5379,86
Sul,PR,ENEAS MARQUES,5961,1643,17
Sul,PR,ENGENHEIRO BELTRAO,14000,3778,35
Sudeste,MG,ENGENHEIRO CALDAS,11134,1395,35
Sudeste,SP,ENGENHEIRO COELHO,20773,4309,66
Sudeste,MG,ENGENHEIRO NAVARRO,7242,439,11
Sudeste,RJ,ENGENHEIRO PAULO DE FRONTIN,14002,2737,76
Sul,RS,ENGENHO VELHO,1034,349,5
Sudeste,MG,ENTRE FOLHAS,5370,1014,19
Nordeste,BA,ENTRE RIOS,41780,2434,53
Sul,SC,ENTRE RIOS,3203,1240,11
Sudeste,MG,ENTRE RIOS DE MINAS,15298,2332,25
Sul,PR,ENTRE RIOS DO OESTE,4539,903,7
Sul,RS,ENTRE RIOS DO SUL,2792,451,5
Sul,RS,ENTRE-IJUIS,8475,2488,33
Norte,AM,ENVIRA,20033,3628,14
Norte,AC,EPITACIOLANDIA,18411,2200,40
Nordeste,RN,EQUADOR,6045,1174,7
Sul,RS,EREBANGO,2991,685,4
Sul,RS,ERECHIM,105862,27954,238
Nordeste,CE,ERERE,7198,1522,17
Nordeste,BA,ERICO CARDOSO,10610,731,6
Sul,SC,ERMO,2063,554,7
Sul,RS,ERNESTINA,3168,388,11
Sul,RS,ERVAL GRANDE,4859,639,8
Sul,RS,ERVAL SECO,6912,1302,9
Sul,SC,ERVAL VELHO,4412,1606,13
Sudeste,MG,ERVALIA,18895,3451,40
Nordeste,PE,ESCADA,68875,2635,111
Sul,RS,ESMERALDA,3282,507,9
Sudeste,MG,ESMERALDAS,70552,5610,180
Sudeste,MG,ESPERA FELIZ,24951,3838,53
Nordeste,PB,ESPERANCA,33007,8206,98
Sul,RS,ESPERANCA DO SUL,2926,418,16
Sul,PR,ESPERANCA NOVA,1698,755,8
Norte,TO,ESPERANTINA,10996,1131,23
Nordeste,PI,ESPERANTINA,39737,2964,102
Nordeste,MA,ESPERANTINOPOLIS,17241,1184,32
Sul,PR,ESPIGAO ALTO DO IGUACU,4117,1326,9
Norte,RO,ESPIGAO DO OESTE,32374,7872,92
Sudeste,MG,ESPINOSA,31617,3373,48
Nordeste,RN,ESPIRITO SANTO,10505,1128,20
Sudeste,MG,ESPIRITO SANTO DO DOURADO,4692,1344,19
Sudeste,SP,ESPIRITO SANTO DO PINHAL,44330,14262,140
Sudeste,SP,ESPIRITO SANTO DO TURVO,4829,826,11
Nordeste,BA,ESPLANADA,37237,3400,38
Sul,RS,ESPUMOSO,15588,4521,55
Sul,RS,ESTACAO,5958,1917,21
Nordeste,SE,ESTANCIA,69184,9770,186
Sul,RS,ESTANCIA VELHA,50022,12365,162
Sul,RS,ESTEIO,83202,27917,421
Sudeste,MG,ESTIVA,11354,3631,31
Sudeste,SP,ESTIVA GERBI,11304,1240,37
Nordeste,MA,ESTREITO,41946,3926,87
Sul,RS,ESTRELA,34116,8420,83
Sudeste,SP,ESTRELA D'OESTE,8419,3250,39
Sudeste,MG,ESTRELA DALVA,2343,760,9
Nordeste,AL,ESTRELA DE ALAGOAS,18205,801,23
Sudeste,MG,ESTRELA DO INDAIA,3500,492,1
Sudeste,SP,ESTRELA DO NORTE,2766,692,9
Centro-Oeste,GO,ESTRELA DO NORTE,3275,555,5
Sudeste,MG,ESTRELA DO SUL,7978,1649,29
Sul,RS,ESTRELA VELHA,3655,884,9
Nordeste,BA,EUCLIDES DA CUNHA,60585,4621,71
Sudeste,SP,EUCLIDES DA CUNHA PAULISTA,9371,537,18
Sul,RS,EUGENIO DE CASTRO,2396,819,9
Sudeste,MG,EUGENOPOLIS,11275,2121,24
Nordeste,BA,EUNAPOLIS,113380,17892,266
Nordeste,CE,EUSEBIO,53618,18116,148
Sudeste,MG,EWBANK DA CAMARA,3913,388,16
Sudeste,MG,EXTREMA,36225,19181,147
Nordeste,RN,EXTREMOZ,28583,7079,81
Nordeste,PE,EXU,31825,6214,63
Nordeste,PB,FAGUNDES,11253,2070,25
Sul,RS,FAGUNDES VARELA,2731,843,4
Centro-Oeste,GO,FAINA,6627,2056,17
Sudeste,MG,FAMA,2377,804,1
Sudeste,MG,FARIA LEMOS,3241,637,7
Nordeste,CE,FARIAS BRITO,19450,3749,66
Norte,PA,FARO,7194,1502,31
Sul,PR,FAROL,3089,501,10
Sul,RS,FARROUPILHA,72331,19137,216
Sudeste,SP,FARTURA,16036,4463,67
Nordeste,PI,FARTURA DO PIAUI,5307,190,6
Nordeste,BA,FATIMA,17890,1710,19
Norte,TO,FATIMA,3835,1013,11
Centro-Oeste,MS,FATIMA DO SUL,19189,5063,80
Sul,PR,FAXINAL,17251,4917,86
Sul,RS,FAXINAL DO SOTURNO,6677,1431,14
Sul,SC,FAXINAL DOS GUEDES,10667,3650,48
Sul,RS,FAXINALZINHO,2315,448,6
Centro-Oeste,GO,FAZENDA NOVA,5637,1857,18
Sul,PR,FAZENDA RIO GRANDE,100209,27545,501
Sul,RS,FAZENDA VILANOVA,4533,831,10
Norte,AC,FEIJO,34780,4051,69
Nordeste,BA,FEIRA DA MATA,5665,657,6
Nordeste,BA,FEIRA DE SANTANA,614872,81551,1213
Nordeste,AL,FEIRA GRANDE,22166,1089,24
Nordeste,PE,FEIRA NOVA,22131,2937,58
Nordeste,SE,FEIRA NOVA,5584,286,7
Nordeste,MA,FEIRA NOVA DO MARANHAO,8504,1610,10
Sudeste,MG,FELICIO DOS SANTOS,4753,479,6
Nordeste,RN,FELIPE GUERRA,5985,2076,20
Sudeste,MG,FELISBURGO,7457,1863,18
Sudeste,MG,FELIXLANDIA,15336,3242,37
Sul,RS,FELIZ,13547,4562,28
Nordeste,AL,FELIZ DESERTO,4754,227,5
Centro-Oeste,MT,FELIZ NATAL,14192,4019,35
Sul,PR,FENIX,4762,1457,11
Sul,PR,FERNANDES PINHEIRO,5646,874,17
Sudeste,MG,FERNANDES TOURINHO,3431,463,17
Nordeste,PE,FERNANDO DE NORONHA,3061,384,2
