regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado
Sudeste,SP,BARUERI,274182,48001,1264
Sudeste,SP,BASTOS,20953,3818,98
Centro-Oeste,MS,BATAGUASSU,23024,4609,55
Nordeste,AL,BATALHA,18232,1305,24
Nordeste,PI,BATALHA,26857,1602,40
Sudeste,SP,BATATAIS,62508,6973,211
Centro-Oeste,MS,BATAYPORA,11329,1924,34
Nordeste,CE,BATURITE,35750,5936,91
Sudeste,SP,BAURU,376818,88069,1474
Nordeste,PB,BAYEUX,96880,13514,273
Sudeste,SP,BEBEDOURO,77496,6064,353
Nordeste,CE,BEBERIBE,53573,11571,145
Nordeste,CE,BELA CRUZ,32591,4485,79
Centro-Oeste,MS,BELA VISTA,24629,2991,45
Sul,PR,BELA VISTA DA CAROBA,3511,841,9
Centro-Oeste,GO,BELA VISTA DE GOIAS,29975,6355,112
Sudeste,MG,BELA VISTA DE MINAS,10255,1308,27
Nordeste,MA,BELA VISTA DO MARANHAO,11209,422,19
Sul,PR,BELA VISTA DO PARAISO,15397,4218,89
Nordeste,PI,BELA VISTA DO PIAUI,4015,328,7
Sul,SC,BELA VISTA DO TOLDO,6337,114,5
Nordeste,MA,BELAGUA,7469,451,4
Nordeste,PB,BELEM,17676,3124,48
Norte,PA,BELEM,1492745,156301,5433
Nordeste,AL,BELEM,4344,262,8
Nordeste,PE,BELEM DE MARIA,12073,544,10
Nordeste,PB,BELEM DO BREJO DO CRUZ,7342,983,10
Nordeste,PI,BELEM DO PIAUI,3566,627,8
Nordeste,PE,BELEM DO SAO FRANCISCO,20729,2159,24
Sudeste,RJ,BELFORD ROXO,510906,52432,1029
Sudeste,MG,BELMIRO BRAGA,3429,1020,6
Nordeste,BA,BELMONTE,23328,1889,33
Sul,SC,BELMONTE,2706,719,5
Nordeste,BA,BELO CAMPO,17211,1314,22
Sudeste,MG,BELO HORIZONTE,2512070,469547,8300
Nordeste,PE,BELO JARDIM,76439,10414,140
Nordeste,AL,BELO MONTE,6704,684,11
Sudeste,MG,BELO ORIENTE,26700,3695,83
Sudeste,MG,BELO VALE,7715,1723,21
Norte,PA,BELTERRA,17732,3441,50
Nordeste,PI,BENEDITINOS,10467,1597,43
Nordeste,MA,BENEDITO LEITE,5632,402,2
Sul,SC,BENEDITO NOVO,11652,1644,25
Norte,PA,BENEVIDES,62737,7280,119
Norte,AM,BENJAMIN CONSTANT,42984,4141,89
Sul,RS,BENJAMIN CONSTANT DO SUL,1994,216,3
Sudeste,SP,BENTO DE ABREU,2980,671,6
Nordeste,RN,BENTO FERNANDES,5497,316,4
Sul,RS,BENTO GONCALVES,120454,40533,493
Nordeste,MA,BEQUIMAO,21280,1180,28
Sudeste,MG,BERILO,11932,597,3
Sudeste,MG,BERIZAL,4735,428,3
Nordeste,PB,BERNARDINO BATISTA,3501,478,3
Sudeste,SP,BERNARDINO DE CAMPOS,11148,2065,42
Nordeste,MA,BERNARDO DO MEARIM,6043,619,7
Norte,TO,BERNARDO SAYAO,4459,1272,13
