regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Centro-Oeste,GO,ABADIA DE GOIAS,4285,1928
Sudeste,MG,ABADIA DOS DOURADOS,2117,1821
Centro-Oeste,GO,ABADIANIA,5204,1781
Sudeste,MG,ABAETE,7581,4289
Norte,PA,ABAETETUBA,19896,61646
Nordeste,CE,ABAIARA,681,4665
Nordeste,BA,ABAIRA,1742,2694
Nordeste,BA,ABARE,2077,7453
Sul,PR,ABATIA,2746,1767
Sul,SC,ABDON BATISTA,1151,687
Norte,PA,ABEL FIGUEIREDO,1371,2491
Sul,SC,ABELARDO LUZ,5023,4121
Exterior,ZZ,ABIDJA,10,17
Sudeste,MG,ABRE CAMPO,3260,3954
Nordeste,PE,ABREU E LIMA,24961,36019
Norte,TO,ABREULANDIA,542,856
Exterior,ZZ,ABU DHABI,539,138
Sudeste,MG,ACAIACA,782,1377
Nordeste,MA,ACAILANDIA,27430,25808
Nordeste,BA,ACAJUTIBA,1476,5944
Norte,PA,ACARA,7548,22544
Nordeste,CE,ACARAPE,2769,5839
Nordeste,CE,ACARAU,6154,23661
Nordeste,RN,ACARI,2282,4000
Nordeste,PI,ACAUA,428,4196
Exterior,ZZ,ACCRA-GANA,5,9
Sul,RS,ACEGUA,1739,1025
Nordeste,CE,ACOPIARA,3629,23614
Centro-Oeste,MT,ACORIZAL,1937,2526
Norte,AC,ACRELANDIA,5165,1300
Centro-Oeste,GO,ACREUNA,6063,4278
Sudeste,MG,ACUCENA,2103,2410
Sudeste,SP,ADAMANTINA,15088,3156
Centro-Oeste,GO,ADELANDIA,1387,430
Sudeste,SP,ADOLFO,2041,661
Sul,PR,ADRIANOPOLIS,1456,2251
Nordeste,BA,ADUSTINA,1188,7361
Nordeste,PE,AFOGADOS DA INGAZEIRA,4476,15197
Nordeste,RN,AFONSO BEZERRA,1363,4917
Sudeste,ES,AFONSO CLAUDIO,10484,6007
Nordeste,MA,AFONSO CUNHA,374,4048
Nordeste,PE,AFRANIO,2094,8991
Norte,PA,AFUA,5684,11169
Nordeste,PE,AGRESTINA,2932,11191
Nordeste,PI,AGRICOLANDIA,623,2963
Sul,SC,AGROLANDIA,5056,1151
Sul,SC,AGRONOMICA,2928,430
Norte,PA,AGUA AZUL DO NORTE,3065,2743
Sudeste,MG,AGUA BOA,2190,4205
Centro-Oeste,MT,AGUA BOA,8733,2258
Nordeste,PI,AGUA BRANCA,2799,7942
Nordeste,AL,AGUA BRANCA,812,9520
Nordeste,PB,AGUA BRANCA,573,5080
Centro-Oeste,MS,AGUA CLARA,4269,2501
Sudeste,MG,AGUA COMPRIDA,991,526
Sul,SC,AGUA DOCE,2921,1158
Nordeste,MA,AGUA DOCE DO MARANHAO,1027,6279
Sudeste,ES,AGUA DOCE DO NORTE,3386,3822
Nordeste,BA,AGUA FRIA,1241,6496
Centro-Oeste,GO,AGUA FRIA DE GOIAS,1868,1025
Centro-Oeste,GO,AGUA LIMPA,859,580
Nordeste,RN,AGUA NOVA,190,1865
Nordeste,PE,AGUA PRETA,2703,11134
Sul,RS,AGUA SANTA,1659,730
Sudeste,SP,AGUAI,10765,4335
Sudeste,MG,AGUANIL,1399,1080
Nordeste,PE,AGUAS BELAS,4071,17486
Sudeste,SP,AGUAS DA PRATA,3172,997
Sul,SC,AGUAS DE CHAPECO,1559,2061
Sudeste,SP,AGUAS DE LINDOIA,8221,1712
Sudeste,SP,AGUAS DE SANTA BARBARA,2448,850
Sudeste,SP,AGUAS DE SAO PEDRO,2062,560
Sudeste,MG,AGUAS FORMOSAS,3995,5099
Sul,SC,AGUAS FRIAS,1031,891
Centro-Oeste,GO,AGUAS LINDAS DE GOIAS,38057,27817
Sul,SC,AGUAS MORNAS,3608,906
Sudeste,MG,AGUAS VERMELHAS,1592,4014
Sul,RS,AGUDO,6043,3949
Sudeste,SP,AGUDOS,15379,4571
Sul,PR,AGUDOS DO SUL,3692,1770
Sudeste,ES,AGUIA BRANCA,2504,3528
Nordeste,PB,AGUIAR,473,2827
Norte,TO,AGUIARNOPOLIS,887,1723
Sudeste,MG,AIMORES,7712,4715
Nordeste,BA,AIQUARA,475,2096
Nordeste,CE,AIUABA,654,7000
Sudeste,MG,AIURUOCA,1701,1393
Sul,RS,AJURICABA,3116,1635
Sudeste,MG,ALAGOA,1165,462
Nordeste,PB,ALAGOA GRANDE,4100,11443
Nordeste,PB,ALAGOA NOVA,2899,8098
Nordeste,PB,ALAGOINHA,1511,6687
Nordeste,PE,ALAGOINHA,1057,7753
Nordeste,PI,ALAGOINHA DO PIAUI,924,3735
Nordeste,BA,ALAGOINHAS,24844,51668
Sudeste,SP,ALAMBARI,2432,747
Sudeste,MG,ALBERTINA,1419,352
Nordeste,MA,ALCANTARA,1504,9125
Nordeste,CE,ALCANTARAS,883,5599
Nordeste,PB,ALCANTIL,1212,2052
Centro-Oeste,MS,ALCINOPOLIS,1194,1059
Nordeste,BA,ALCOBACA,2487,7839
Nordeste,MA,ALDEIAS ALTAS,1899,9719
Sul,RS,ALECRIM,2355,1909
Sudeste,ES,ALEGRE,9243,6621
Sul,RS,ALEGRETE,21771,18469
Nordeste,PI,ALEGRETE DO PIAUI,498,2687
Sul,RS,ALEGRIA,1308,1215
Sudeste,MG,ALEM PARAIBA,9512,9318
Norte,PA,ALENQUER,12988,14397
Nordeste,RN,ALEXANDRIA,1145,6767
Centro-Oeste,GO,ALEXANIA,9723,3979
Sudeste,MG,ALFENAS,27671,12837
Sudeste,ES,ALFREDO CHAVES,6816,1835
Sudeste,SP,ALFREDO MARCONDES,1880,853
Sudeste,MG,ALFREDO VASCONCELOS,1922,1955
Sul,SC,ALFREDO WAGNER,4600,1479
Nordeste,PB,ALGODAO DE JANDAIRA,280,1944
Nordeste,PB,ALHANDRA,4863,8538
Nordeste,PE,ALIANCA,5160,14987
Norte,TO,ALIANCA DO TOCANTINS,1215,1449
Nordeste,BA,ALMADINA,628,2527
Norte,TO,ALMAS,1022,2214
Norte,PA,ALMEIRIM,3882,10213
Sudeste,MG,ALMENARA,5418,12687
Nordeste,RN,ALMINO AFONSO,587,2883
Sul,PR,ALMIRANTE TAMANDARE,35436,17171
Sul,RS,ALMIRANTE TAMANDARE DO SUL,923,573
Centro-Oeste,GO,ALOANDIA,801,506
Sudeste,MG,ALPERCATA,2076,1961
Sul,RS,ALPESTRE,2435,2519
Sudeste,MG,ALPINOPOLIS,6205,4332
Centro-Oeste,MT,ALTA FLORESTA,18321,7791
Norte,RO,ALTA FLORESTA D'OESTE,8524,3763
Sudeste,SP,ALTAIR,1269,808
Norte,PA,ALTAMIRA,33549,19466
Nordeste,MA,ALTAMIRA DO MARANHAO,664,2730
Sul,PR,ALTAMIRA DO PARANA,1174,1288
Nordeste,CE,ALTANEIRA,435,3999
Sudeste,MG,ALTEROSA,5079,3275
Nordeste,PE,ALTINHO,2622,9491
Sudeste,SP,ALTINOPOLIS,5115,2905
Sul,RS,ALTO ALEGRE,772,586
Sudeste,SP,ALTO ALEGRE,1932,576
Norte,RR,ALTO ALEGRE,4354,2877
Nordeste,MA,ALTO ALEGRE DO MARANHAO,2010,10064
Nordeste,MA,ALTO ALEGRE DO PINDARE,1741,11513
Norte,RO,ALTO ALEGRE DOS PARECIS,3790,2244
Centro-Oeste,MT,ALTO ARAGUAIA,5001,2687
Sul,SC,ALTO BELA VISTA,1063,445
Centro-Oeste,MT,ALTO BOA VISTA,1735,572
Sudeste,MG,ALTO CAPARAO,2350,789
Nordeste,RN,ALTO DO RODRIGUES,1554,6587
Sul,RS,ALTO FELIZ,1592,403
Centro-Oeste,MT,ALTO GARCAS,3183,1730
Centro-Oeste,GO,ALTO HORIZONTE,2429,1386
Sudeste,MG,ALTO JEQUITIBA,3337,1589
Nordeste,PI,ALTO LONGA,1445,7351
Centro-Oeste,MT,ALTO PARAGUAI,1714,2412
Sul,PR,ALTO PARAISO,1208,869
Norte,RO,ALTO PARAISO,5701,2257
Centro-Oeste,GO,ALTO PARAISO DE GOIAS,1454,2379
Sul,PR,ALTO PARANA,4467,2899
Nordeste,MA,ALTO PARNAIBA,1453,3744
Sul,PR,ALTO PIQUIRI,2808,2773
Sudeste,MG,ALTO RIO DOCE,1908,4166
Sudeste,ES,ALTO RIO NOVO,1979,2315
Nordeste,CE,ALTO SANTO,1134,7572
Centro-Oeste,MT,ALTO TAQUARI,3139,1197
Sul,PR,ALTONIA,8130,3301
Nordeste,PI,ALTOS,4338,20732
Sudeste,SP,ALUMINIO,6530,3054
Norte,AM,ALVARAES,1380,5295
Sudeste,MG,ALVARENGA,1422,1473
Sudeste,SP,ALVARES FLORENCE,2008,637
Sudeste,SP,ALVARES MACHADO,8536,3640
Sudeste,SP,ALVARO DE CARVALHO,1208,703
Sudeste,SP,ALVINLANDIA,1118,686
Sudeste,MG,ALVINOPOLIS,3100,5331
Norte,TO,ALVORADA,2516,1989
Sul,RS,ALVORADA,57782,35734
Sudeste,MG,ALVORADA DE MINAS,573,1662
Nordeste,PI,ALVORADA DO GURGUEIA,379,2572
Centro-Oeste,GO,ALVORADA DO NORTE,2066,2083
Norte,RO,ALVORADA DO OESTE,4729,2817
Sul,PR,ALVORADA DO SUL,3323,2019
Exterior,ZZ,AMA,119,231
Norte,RR,AMAJARI,2648,1844
Centro-Oeste,MS,AMAMBAI,9916,7354
Norte,AP,AMAPA,1423,2610
Nordeste,MA,AMAPA DO MARANHAO,697,2571
Sul,PR,AMAPORA,1474,1538
Nordeste,PE,AMARAJI,3059,8427
Sul,RS,AMARAL FERRADOR,1687,1630
Centro-Oeste,GO,AMARALINA,813,1204
Nordeste,PI,AMARANTE,1419,9036
Nordeste,MA,AMARANTE DO MARANHAO,5186,12451
Nordeste,BA,AMARGOSA,6203,12470
Norte,AM,AMATURA,846,3400
Nordeste,BA,AMELIA RODRIGUES,2568,10510
Nordeste,BA,AMERICA DOURADA,1037,7472
Sudeste,SP,AMERICANA,98605,27044
Centro-Oeste,GO,AMERICANO DO BRASIL,1934,1559
Sudeste,SP,AMERICO BRASILIENSE,10503,7524
Sudeste,SP,AMERICO DE CAMPOS,2630,833
Sul,RS,AMETISTA DO SUL,2141,1956
Nordeste,CE,AMONTADA,3789,18328
Centro-Oeste,GO,AMORINOPOLIS,1398,1172
Nordeste,PB,AMPARO,177,1630
Sudeste,SP,AMPARO,29332,7048
Nordeste,SE,AMPARO DE SAO FRANCISCO,447,1282
Sudeste,MG,AMPARO DO SERRA,817,2161
Sul,PR,AMPERE,4777,5949
Nordeste,AL,ANADIA,1711,6182
Nordeste,BA,ANAGE,2543,9762
Sul,PR,ANAHY,1085,878
Norte,PA,ANAJAS,4300,6951
Nordeste,MA,ANAJATUBA,1690,10794
Sudeste,SP,ANALANDIA,2050,556
Norte,AM,ANAMA,1771,4077
Norte,TO,ANANAS,1823,3195
Norte,PA,ANANINDEUA,132590,109713
Centro-Oeste,GO,ANAPOLIS,154907,39442
Norte,PA,ANAPU,5979,5203
Nordeste,MA,ANAPURUS,1394,8094
Centro-Oeste,MS,ANASTACIO,7024,4920
Centro-Oeste,MS,ANAURILANDIA,2046,1849
Exterior,ZZ,ANCARA,8,7
Sudeste,ES,ANCHIETA,10240,5813
Sul,SC,ANCHIETA,2027,1801
Nordeste,BA,ANDARAI,867,6057
Sul,PR,ANDIRA,7969,4168
Nordeste,BA,ANDORINHA,717,8339
Sudeste,MG,ANDRADAS,15971,4563
Sudeste,SP,ANDRADINA,20882,8274
Sul,RS,ANDRE DA ROCHA,709,236
Sudeste,MG,ANDRELANDIA,3252,2698
Sudeste,SP,ANGATUBA,7903,4055
Sudeste,MG,ANGELANDIA,1485,1938
Centro-Oeste,MS,ANGELICA,3038,2585
Nordeste,PE,ANGELIM,1612,4517
Sul,SC,ANGELINA,2473,1466
Nordeste,BA,ANGICAL,1628,7552
Nordeste,PI,ANGICAL DO PIAUI,869,3734
Norte,TO,ANGICO,744,920
Nordeste,RN,ANGICOS,2328,4434
Sudeste,RJ,ANGRA DOS REIS,63148,21829
Nordeste,BA,ANGUERA,883,5502
Sul,PR,ANGULO,1378,578
Centro-Oeste,GO,ANHANGUERA,374,391
Sudeste,SP,ANHEMBI,2504,884
Sudeste,SP,ANHUMAS,1687,724
Centro-Oeste,GO,ANICUNS,6906,3453
Nordeste,PI,ANISIO DE ABREU,605,4455
Sul,SC,ANITA GARIBALDI,2584,2473
Sul,SC,ANITAPOLIS,1617,620
Norte,AM,ANORI,2253,3681
Sul,RS,ANTA GORDA,3203,612
Nordeste,BA,ANTAS,1445,5717
Sul,PR,ANTONINA,7761,3150
Nordeste,CE,ANTONINA DO NORTE,481,3905
Nordeste,PI,ANTONIO ALMEIDA,586,1389
Nordeste,BA,ANTONIO CARDOSO,931,7844
Sul,SC,ANTONIO CARLOS,5611,833
Sudeste,MG,ANTONIO CARLOS,2788,3626
Sudeste,MG,ANTONIO DIAS,2765,2578
Nordeste,BA,ANTONIO GONCALVES,1308,4445
Centro-Oeste,MS,ANTONIO JOAO,2607,2060
Nordeste,RN,ANTONIO MARTINS,598,3569
Sul,PR,ANTONIO OLINTO,2672,2237
Sul,RS,ANTONIO PRADO,7131,1250
Sudeste,MG,ANTONIO PRADO DE MINAS,675,692
Sudeste,SP,APARECIDA,16138,4553
Nordeste,PB,APARECIDA,1095,4051
Sudeste,SP,APARECIDA D'OESTE,1547,1090
Centro-Oeste,GO,APARECIDA DE GOIANIA,145366,71561
Centro-Oeste,GO,APARECIDA DO RIO DOCE,873,838
Norte,TO,APARECIDA DO RIO NEGRO,1171,1291
Centro-Oeste,MS,APARECIDA DO TABOADO,8005,3420
Sudeste,RJ,APERIBE,4925,1794
Sudeste,ES,APIACA,2243,1897
Centro-Oeste,MT,APIACAS,2071,1366
Sudeste,SP,APIAI,7214,5069
Nordeste,MA,APICUM-ACU,1649,6014
Sul,SC,APIUNA,5028,1118
Nordeste,RN,APODI,4994,16465
Nordeste,BA,APORA,1643,6763
Centro-Oeste,GO,APORE,1124,912
Nordeste,BA,APUAREMA,921,3019
Sul,PR,APUCARANA,54081,15607
Norte,AM,APUI,3218,3046
Nordeste,CE,APUIARES,1501,7423
Nordeste,SE,AQUIDABA,2193,8619
Centro-Oeste,MS,AQUIDAUANA,12369,9719
Nordeste,CE,AQUIRAZ,13121,29499
Sul,SC,ARABUTA,1943,967
Nordeste,PB,ARACAGI,1597,8256
Sudeste,MG,ARACAI,860,684
Nordeste,SE,ARACAJU,139603,155892
Sudeste,SP,ARACARIGUAMA,7212,3192
Nordeste,BA,ARACAS,1237,5945
Nordeste,CE,ARACATI,11455,28880
Nordeste,BA,ARACATU,1704,7154
Sudeste,SP,ARACATUBA,80353,20424
Nordeste,BA,ARACI,3290,22617
Sudeste,MG,ARACITABA,539,794
Nordeste,PE,ARACOIABA,2858,8887
Nordeste,CE,ARACOIABA,3529,14469
Sudeste,SP,ARACOIABA DA SERRA,13130,3881
Sudeste,ES,ARACRUZ,30832,18253
Centro-Oeste,GO,ARACU,1702,1144
Sudeste,MG,ARACUAI,6278,9420
Centro-Oeste,GO,ARAGARCAS,4941,3557
Centro-Oeste,GO,ARAGOIANIA,3509,2027
Norte,TO,ARAGOMINAS,984,1875
Norte,TO,ARAGUACEMA,1053,2120
Norte,TO,ARAGUACU,3001,1436
Centro-Oeste,MT,ARAGUAIANA,1008,859
Norte,TO,ARAGUAINA,46436,31320
Centro-Oeste,MT,ARAGUAINHA,329,296
Norte,TO,ARAGUANA,1107,1367
Nordeste,MA,ARAGUANA,580,4315
Centro-Oeste,GO,ARAGUAPAZ,1980,2058
Sudeste,MG,ARAGUARI,41697,19055
Norte,TO,ARAGUATINS,5882,8819
Nordeste,MA,ARAIOSES,2476,19425
Centro-Oeste,MS,ARAL MOREIRA,2547,2228
Nordeste,BA,ARAMARI,797,5643
Sul,RS,ARAMBARE,1437,874
Nordeste,MA,ARAME,3040,11202
Sudeste,SP,ARAMINA,1834,1164
Sudeste,SP,ARANDU,2679,1206
Sudeste,MG,ARANTINA,697,1081
Sudeste,SP,ARAPEI,950,624
Nordeste,AL,ARAPIRACA,48375,56755
Norte,TO,ARAPOEMA,1385,1811
Sudeste,MG,ARAPONGA,947,3228
Sul,PR,ARAPONGAS,51988,10333
Sudeste,MG,ARAPORA,2442,1767
Sul,PR,ARAPOTI,10621,3693
Sudeste,MG,ARAPUA,1434,573
Sul,PR,ARAPUA,1150,1331
Centro-Oeste,MT,ARAPUTANGA,5860,2172
Sul,SC,ARAQUARI,10771,3277
Nordeste,PB,ARARA,1404,4904
Sul,SC,ARARANGUA,28744,8171
Sudeste,SP,ARARAQUARA,70340,40311
Sudeste,SP,ARARAS,54587,13466
Nordeste,CE,ARARENDA,1332,4720
Nordeste,MA,ARARI,3346,12390
Sul,RS,ARARICA,2670,1218
Nordeste,CE,ARARIPE,1026,10887
Nordeste,PE,ARARIPINA,7083,33843
Sudeste,RJ,ARARUAMA,47767,13961
Nordeste,PB,ARARUNA,2556,6334
Sul,PR,ARARUNA,5162,2773
Nordeste,BA,ARATACA,1152,3076
Sul,RS,ARATIBA,2831,2090
Nordeste,CE,ARATUBA,1427,6409
Nordeste,BA,ARATUIPE,827,4635
Nordeste,SE,ARAUA,1256,5115
Sul,PR,ARAUCARIA,47434,25283
Sudeste,MG,ARAUJOS,3172,1234
Sudeste,MG,ARAXA,33021,18890
Sudeste,MG,ARCEBURGO,3245,1486
Sudeste,SP,ARCO-IRIS,987,421
Sudeste,MG,ARCOS,13571,7726
Nordeste,PE,ARCOVERDE,9623,25396
Sudeste,MG,AREADO,5579,2224
Sudeste,RJ,AREAL,4434,2090
Sudeste,SP,AREALVA,3277,1063
Nordeste,PB,AREIA,2853,10765
Nordeste,SE,AREIA BRANCA,2678,6638
Nordeste,RN,AREIA BRANCA,5315,9365
Nordeste,PB,AREIA DE BARAUNAS,182,1262
Nordeste,PB,AREIAL,1312,2920
Sudeste,SP,AREIAS,963,1128
Sudeste,SP,AREIOPOLIS,3791,1861
Centro-Oeste,MT,ARENAPOLIS,3187,1908
Centro-Oeste,GO,ARENOPOLIS,1031,1157
Nordeste,RN,AREZ,2369,5814
Sudeste,MG,ARGIRITA,687,1154
Sudeste,MG,ARICANDUVA,759,1907
Sudeste,MG,ARINOS,2892,4986
Centro-Oeste,MT,ARIPUANA,5148,2325
Norte,RO,ARIQUEMES,37325,8862
Sudeste,SP,ARIRANHA,3668,1207
Sul,PR,ARIRANHA DO IVAI,679,1016
Sudeste,RJ,ARMACAO DOS BUZIOS,13938,4869
Sul,SC,ARMAZEM,4299,875
Nordeste,CE,ARNEIROZ,659,3742
Nordeste,PI,AROAZES,436,3330
Nordeste,PB,AROEIRAS,2237,9307
Nordeste,PI,AROEIRAS DO ITAIM,393,2414
Nordeste,PI,ARRAIAL,308,2533
Sudeste,RJ,ARRAIAL DO CABO,14047,4751
Norte,TO,ARRAIAS,1323,3642
Sul,RS,ARROIO DO MEIO,9339,3421
Sul,RS,ARROIO DO PADRE,1876,399
Sul,RS,ARROIO DO SAL,3619,1318
Sul,RS,ARROIO DO TIGRE,4640,3256
Sul,RS,ARROIO DOS RATOS,3883,3353
Sul,RS,ARROIO GRANDE,4816,5903
Sul,SC,ARROIO TRINTA,1837,546
Exterior,ZZ,ARTIGAS,319,83
Sudeste,SP,ARTUR NOGUEIRA,18341,6342
Centro-Oeste,GO,ARUANA,2038,1697
Sudeste,SP,ARUJA,31746,13943
Sul,SC,ARVOREDO,1044,786
Sul,RS,ARVOREZINHA,4539,1987
Sul,SC,ASCURRA,4257,506
Sudeste,SP,ASPASIA,818,455
Sul,PR,ASSAI,7092,2373
Nordeste,CE,ASSARE,1584,11387
Sudeste,SP,ASSIS,35336,12785
Norte,AC,ASSIS BRASIL,2333,1660
Sul,PR,ASSIS CHATEAUBRIAND,13142,6424
Nordeste,RN,ASSU,7100,24008
Nordeste,PB,ASSUNCAO,467,2123
Exterior,ZZ,ASSUNCAO,881,213
Nordeste,PI,ASSUNCAO DO PIAUI,528,4053
Sudeste,MG,ASTOLFO DUTRA,4224,3309
Sul,PR,ASTORGA,11831,3446
Nordeste,AL,ATALAIA,6287,13524
Sul,PR,ATALAIA,1760,962
Norte,AM,ATALAIA DO NORTE,851,4020
Sul,SC,ATALANTA,1934,379
Sudeste,MG,ATALEIA,1836,4321
Exterior,ZZ,ATENAS,276,99
Sudeste,SP,ATIBAIA,56292,15439
Sudeste,ES,ATILIO VIVACQUA,3733,2762
Exterior,ZZ,ATLANTA,2906,393
Norte,TO,AUGUSTINOPOLIS,3171,5598
Norte,PA,AUGUSTO CORREA,5673,17073
Sudeste,MG,AUGUSTO DE LIMA,1053,1367
Sul,RS,AUGUSTO PESTANA,3061,1467
Sul,RS,AUREA,1484,1008
Nordeste,BA,AURELINO LEAL,1270,5154
Sudeste,SP,AURIFLAMA,5561,2255
Centro-Oeste,GO,AURILANDIA,1060,1230
Sul,SC,AURORA,3374,693
Nordeste,CE,AURORA,2110,12526
Norte,PA,AURORA DO PARA,3357,8146
Norte,TO,AURORA DO TOCANTINS,740,1173
Norte,AM,AUTAZES,4509,12407
Sudeste,SP,AVAI,1571,1120
Sudeste,SP,AVANHANDAVA,3257,1855
Sudeste,SP,AVARE,32653,9550
Norte,PA,AVEIRO,1926,4000
Nordeste,PI,AVELINO LOPES,1169,5444
Centro-Oeste,GO,AVELINOPOLIS,1455,737
Nordeste,MA,AXIXA,1049,5448
Norte,TO,AXIXA DO TOCANTINS,2147,4033
Norte,TO,BABACULANDIA,1276,3312
Nordeste,MA,BACABAL,15311,30586
Nordeste,MA,BACABEIRA,1618,8712
Nordeste,MA,BACURI,930,7290
Nordeste,MA,BACURITUBA,338,2728
Sudeste,SP,BADY BASSITT,6953,1762
Sudeste,MG,BAEPENDI,7578,3106
Sul,RS,BAGE,35630,27319
Norte,PA,BAGRE,1430,6342
Nordeste,PB,BAIA DA TRAICAO,790,4237
Nordeste,RN,BAIA FORMOSA,1554,3279
Nordeste,BA,BAIANOPOLIS,1804,6478
Norte,PA,BAIAO,4044,12183
Nordeste,BA,BAIXA GRANDE,2551,7344
Nordeste,PI,BAIXA GRANDE DO RIBEIRO,1605,5007
Nordeste,CE,BAIXIO,419,3487
Sudeste,ES,BAIXO GUANDU,10313,5739
Sudeste,SP,BALBINOS,719,227
Sudeste,MG,BALDIM,2562,1905
Centro-Oeste,GO,BALIZA,589,1104
Sul,SC,BALNEARIO ARROIO DO SILVA,5177,1979
Sul,SC,BALNEARIO BARRA DO SUL,5164,1488
Sul,SC,BALNEARIO CAMBORIU,54202,11902
Sul,SC,BALNEARIO GAIVOTA,4422,1590
Sul,SC,BALNEARIO PICARRAS,8993,2029
Sul,RS,BALNEARIO PINHAL,3613,1910
Sul,SC,BALNEARIO RINCAO,5842,1956
Sul,PR,BALSA NOVA,6070,2615
Sudeste,SP,BALSAMO,4204,955
Nordeste,MA,BALSAS,19170,23547
Sudeste,MG,BAMBUI,6090,6120
Nordeste,CE,BANABUIU,1376,8841
Sudeste,SP,BANANAL,3078,2428
Nordeste,PB,BANANEIRAS,2492,10207
Sudeste,MG,BANDEIRA,506,1988
Sudeste,MG,BANDEIRA DO SUL,2609,1061
Sul,SC,BANDEIRANTE,1117,1000
Centro-Oeste,MS,BANDEIRANTES,2269,1813
Sul,PR,BANDEIRANTES,14638,4626
Norte,TO,BANDEIRANTES DO TOCANTINS,860,846
Exterior,ZZ,BANGKOK,53,21
Norte,PA,BANNACH,1050,744
Nordeste,BA,BANZAE,1531,5815
Sul,RS,BARAO,2974,963
Sudeste,SP,BARAO DE ANTONINA,1018,736
Sudeste,MG,BARAO DE COCAIS,8352,7043
Sul,RS,BARAO DE COTEGIPE,2645,1528
Nordeste,MA,BARAO DE GRAJAU,1110,9080
Centro-Oeste,MT,BARAO DE MELGACO,1225,2618
Sudeste,MG,BARAO DE MONTE ALTO,1480,2287
Sul,RS,BARAO DO TRIUNFO,2118,1245
Nordeste,PB,BARAUNA,440,2588
Nordeste,RN,BARAUNA,4458,9527
Sudeste,MG,BARBACENA,35585,32411
Nordeste,CE,BARBALHA,8953,25379
Sudeste,SP,BARBOSA,2178,1149
Sul,PR,BARBOSA FERRAZ,3707,2641
Norte,PA,BARCARENA,20998,41225
Exterior,ZZ,BARCELONA,806,939
Nordeste,RN,BARCELONA,1093,2028
Norte,AM,BARCELOS,1913,3608
Sudeste,SP,BARIRI,13538,2855
Nordeste,BA,BARRA,3628,20502
Sul,SC,BARRA BONITA,776,615
Sudeste,SP,BARRA BONITA,15951,4666
Nordeste,PI,BARRA D'ALCANTARA,297,2042
Nordeste,BA,BARRA DA ESTIVA,3149,10421
Nordeste,PE,BARRA DE GUABIRABA,2426,4415
Nordeste,PB,BARRA DE SANTA ROSA,1304,6565
Nordeste,PB,BARRA DE SANTANA,1377,4060
Nordeste,AL,BARRA DE SANTO ANTONIO,2893,4923
Sudeste,ES,BARRA DE SAO FRANCISCO,12932,9975
Nordeste,PB,BARRA DE SAO MIGUEL,843,2964
Nordeste,AL,BARRA DE SAO MIGUEL,2400,2346
Centro-Oeste,MT,BARRA DO BUGRES,8047,7636
Sudeste,SP,BARRA DO CHAPEU,1383,1532
Nordeste,BA,BARRA DO CHOCA,3762,15363
Nordeste,MA,BARRA DO CORDA,11710,28593
Centro-Oeste,MT,BARRA DO GARCAS,18236,10350
Sul,RS,BARRA DO GUARITA,804,998
Sul,PR,BARRA DO JACARE,1075,825
Nordeste,BA,BARRA DO MENDES,779,7691
Norte,TO,BARRA DO OURO,648,1755
Sudeste,RJ,BARRA DO PIRAI,30218,16806
Sul,RS,BARRA DO QUARAI,994,963
Sul,RS,BARRA DO RIBEIRO,4285,2789
Sul,RS,BARRA DO RIO AZUL,684,704
Nordeste,BA,BARRA DO ROCHA,657,1901
Sudeste,SP,BARRA DO TURVO,1846,1802
Nordeste,SE,BARRA DOS COQUEIROS,5914,8149
Sul,RS,BARRA FUNDA,1263,785
Sudeste,MG,BARRA LONGA,1063,2272
Sudeste,RJ,BARRA MANSA,62358,31110
Sul,SC,BARRA VELHA,13122,2909
Sul,RS,BARRACAO,1656,1468
Sul,PR,BARRACAO,3045,2520
Nordeste,PI,BARRAS,5265,20081
Nordeste,CE,BARREIRA,3413,9374
Nordeste,BA,BARREIRAS,29915,43898
Nordeste,PI,BARREIRAS DO PIAUI,378,1557
Norte,AM,BARREIRINHA,1036,11611
Nordeste,MA,BARREIRINHAS,4877,26149
Nordeste,PE,BARREIROS,6368,14345
Sudeste,SP,BARRETOS,40754,14354
Sudeste,SP,BARRINHA,9469,6025
Nordeste,CE,BARRO,1391,10421
Nordeste,BA,BARRO ALTO,1091,5893
Centro-Oeste,GO,BARRO ALTO,3382,2587
Nordeste,PI,BARRO DURO,987,3184
Nordeste,BA,BARRO PRETO,1096,2715
Nordeste,BA,BARROCAS,1420,8478
Norte,TO,BARROLANDIA,1501,1545
Nordeste,CE,BARROQUINHA,1216,8284
Sul,RS,BARROS CASSAL,2991,2887
Sudeste,MG,BARROSO,5575,5530
Sudeste,SP,BARUERI,109197,64279
Sudeste,SP,BASTOS,9951,1970
Centro-Oeste,MS,BATAGUASSU,7059,4145
Nordeste,AL,BATALHA,2072,6261
Nordeste,PI,BATALHA,3441,11595
Sudeste,SP,BATATAIS,20371,8366
Centro-Oeste,MS,BATAYPORA,3073,2445
Nordeste,CE,BATURITE,3707,15675
Sudeste,SP,BAURU,133954,49704
Nordeste,PB,BAYEUX,26588,29039
Sudeste,SP,BEBEDOURO,30396,7831
Nordeste,CE,BEBERIBE,7113,22228
Exterior,ZZ,BEIRUTE,1041,941
Nordeste,CE,BELA CRUZ,3113,11141
Centro-Oeste,MS,BELA VISTA,6188,4394
Sul,PR,BELA VISTA DA CAROBA,880,1481
