regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Norte,PA,PRIMAVERA,2010,4731
Nordeste,PE,PRIMAVERA,1891,5692
Norte,RO,PRIMAVERA DE RONDONIA,1423,529
Centro-Oeste,MT,PRIMAVERA DO LESTE,24938,6846
Nordeste,MA,PRIMEIRA CRUZ,542,5131
Sul,PR,PRIMEIRO DE MAIO,4495,1986
Sul,SC,PRINCESA,1221,744
Nordeste,PB,PRINCESA ISABEL,1730,9595
Centro-Oeste,GO,PROFESSOR JAMIL,1054,948
Sul,RS,PROGRESSO,2029,1784
Sudeste,SP,PROMISSAO,12565,5333
Nordeste,SE,PROPRIA,4715,9340
Sul,RS,PROTASIO ALVES,1315,227
Sudeste,MG,PRUDENTE DE MORAIS,3412,1931
Sul,PR,PRUDENTOPOLIS,21933,7999
Norte,TO,PUGMIL,641,572
Nordeste,RN,PUREZA,1246,3932
Sul,RS,PUTINGA,2159,551
Nordeste,PB,PUXINANA,2990,5761
Sudeste,SP,QUADRA,1506,503
Sul,RS,QUARAI,7015,5429
Sudeste,MG,QUARTEL GERAL,1049,973
Sul,PR,QUARTO CENTENARIO,1627,1140
Sudeste,SP,QUATA,5221,1869
Sul,PR,QUATIGUA,3583,1361
Norte,PA,QUATIPURU,1553,4447
Sudeste,RJ,QUATIS,4426,2806
Sul,PR,QUATRO BARRAS,9011,2824
Sul,RS,QUATRO IRMAOS,726,466
Sul,PR,QUATRO PONTES,2509,404
Nordeste,AL,QUEBRANGULO,1429,5053
Sul,PR,QUEDAS DO IGUACU,10306,6250
Nordeste,PI,QUEIMADA NOVA,471,4673
Nordeste,PB,QUEIMADAS,7618,17660
Nordeste,BA,QUEIMADAS,2670,10431
Sudeste,RJ,QUEIMADOS,38830,17884
Sudeste,SP,QUEIROZ,1314,659
Sudeste,SP,QUELUZ,2652,1904
Sudeste,MG,QUELUZITO,878,750
Centro-Oeste,MT,QUERENCIA,5965,1954
Sul,PR,QUERENCIA DO NORTE,2754,3526
Sul,RS,QUEVEDOS,747,851
Nordeste,BA,QUIJINGUE,2487,11907
Sul,SC,QUILOMBO,3337,3204
Sul,PR,QUINTA DO SOL,1681,1431
Sudeste,SP,QUINTANA,2473,1051
Sul,RS,QUINZE DE NOVEMBRO,1999,761
Nordeste,PE,QUIPAPA,1564,8677
Centro-Oeste,GO,QUIRINOPOLIS,13693,9923
Sudeste,RJ,QUISSAMA,6250,4752
Sul,PR,QUITANDINHA,7565,3015
Nordeste,CE,QUITERIANOPOLIS,1562,9349
Exterior,ZZ,QUITO,245,95
Nordeste,PE,QUIXABA,329,4169
Nordeste,PB,QUIXABA,478,1054
Nordeste,BA,QUIXABEIRA,1660,3693
Nordeste,CE,QUIXADA,13272,28670
Nordeste,CE,QUIXELO,1580,8979
Nordeste,CE,QUIXERAMOBIM,6571,32322
Nordeste,CE,QUIXERE,2645,9781
Exterior,ZZ,RABAT,6,16
Nordeste,RN,RAFAEL FERNANDES,506,2873
Nordeste,RN,RAFAEL GODEIRO,521,2047
Nordeste,BA,RAFAEL JAMBEIRO,2742,8554
Sudeste,SP,RAFARD,4378,1022
Exterior,ZZ,RAMALLAH-PALE,51,467
Sul,PR,RAMILANDIA,1139,1310
Sudeste,SP,RANCHARIA,11199,4961
Sul,PR,RANCHO ALEGRE,1572,809
Sul,PR,RANCHO ALEGRE D'OESTE,1066,762
Sul,SC,RANCHO QUEIMADO,1775,475
Nordeste,MA,RAPOSA,3693,9840
Sudeste,MG,RAPOSOS,4723,4461
Sudeste,MG,RAUL SOARES,5272,6034
Sul,PR,REALEZA,6135,4252
Sul,PR,REBOUCAS,4943,4239
Nordeste,PE,RECIFE,436764,482673
Sudeste,MG,RECREIO,2184,2916
Norte,TO,RECURSOLANDIA,485,1331
Nordeste,CE,REDENCAO,3772,13184
Norte,PA,REDENCAO,24929,12661
Sudeste,SP,REDENCAO DA SERRA,1958,665
Nordeste,PI,REDENCAO DO GURGUEIA,945,3568
Sul,RS,REDENTORA,1670,2899
Sudeste,MG,REDUTO,1998,1798
Nordeste,PI,REGENERACAO,1126,8554
Sudeste,SP,REGENTE FEIJO,7553,2814
Sudeste,SP,REGINOPOLIS,2621,595
Sudeste,SP,REGISTRO,21153,8333
Sul,RS,RELVADO,1123,347
Nordeste,BA,REMANSO,3356,18005
Nordeste,PB,REMIGIO,2336,7943
Sul,PR,RENASCENCA,1894,2216
Nordeste,CE,RERIUTABA,1665,8634
Sudeste,RJ,RESENDE,47443,16429
Sudeste,MG,RESENDE COSTA,3175,2881
Sul,PR,RESERVA,8161,6896
Centro-Oeste,MT,RESERVA DO CABACAL,735,521
Sul,PR,RESERVA DO IGUACU,1445,2531
Sudeste,MG,RESPLENDOR,5887,2569
Sudeste,MG,RESSAQUINHA,1206,1776
Sudeste,SP,RESTINGA,2599,1760
Sul,RS,RESTINGA SECA,5828,3457
Nordeste,BA,RETIROLANDIA,1388,7296
Nordeste,MA,RIACHAO,2330,8274
Nordeste,PB,RIACHAO,550,1717
Nordeste,BA,RIACHAO DAS NEVES,2446,10056
Nordeste,PB,RIACHAO DO BACAMARTE,616,2432
Nordeste,SE,RIACHAO DO DANTAS,1984,9942
Nordeste,BA,RIACHAO DO JACUIPE,2839,17152
Nordeste,PB,RIACHAO DO POCO,862,2309
Norte,TO,RIACHINHO,726,1650
Sudeste,MG,RIACHINHO,1052,2314
Nordeste,RN,RIACHO DA CRUZ,389,1644
Nordeste,PE,RIACHO DAS ALMAS,3806,10272
